State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2023,Q4,210477.0,1140033.0,1264447.0,480315.0,3095272.0
Alaska,2023,Q4,-76.0,0.0,0.0,84515.0,84439.0
Arizona,2023,Q4,161584.0,2868107.0,1210304.0,372753.0,4612748.0
Arkansas,2023,Q4,683347.0,1271733.0,630517.0,225355.0,2810952.0
California,2023,Q4,835652.0,13619347.0,33925314.0,13126861.0,61507174.0
Colorado,2023,Q4,0.0,1158147.0,2491174.0,530402.0,4179723.0
Connecticut,2023,Q4,0.0,1556910.0,2043096.0,540980.0,4140986.0
Delaware,2023,Q4,0.0,0.0,523588.0,115668.0,639256.0
Florida,2023,Q4,0.0,9864843.0,0.0,1330790.0,11195633.0
Georgia,2023,Q4,210592.0,2255943.0,4051017.0,886644.0,7404196.0
Hawaii,2023,Q4,0.0,1546805.0,1034919.0,150806.0,2732530.0
Idaho,2023,Q4,0.0,763205.0,601669.0,279388.0,1644262.0
Illinois,2023,Q4,18873.0,4156572.0,4996302.0,2868567.0,12040314.0
Indiana,2023,Q4,0.0,2687235.0,1710600.0,201769.0,4599604.0
Iowa,2023,Q4,0.0,1141126.0,927389.0,488972.0,2557487.0
Kansas,2023,Q4,6821.0,1106101.0,987525.0,337289.0,2437736.0
Kentucky,2023,Q4,450920.0,1450294.0,1136851.0,441083.0,3479148.0
Louisiana,2023,Q4,14948.0,1186107.0,1102547.0,207680.0,2511282.0
Maine,2023,Q4,2326.0,584964.0,607259.0,103487.0,1298036.0
Maryland,2023,Q4,112461.0,1737503.0,2476283.0,1377967.0,5704214.0
Massachusetts,2023,Q4,20.0,2391187.0,4516946.0,1106323.0,8014476.0
Michigan,2023,Q4,1639851.0,3152005.0,3103250.0,648960.0,8544066.0
Minnesota,2023,Q4,313681.0,2177111.0,3094789.0,1166290.0,6751871.0
Mississippi,2023,Q4,6856.0,1249254.0,619610.0,176857.0,2052577.0
Missouri,2023,Q4,10500.0,1269333.0,1166400.0,886040.0,3332273.0
Montana,2023,Q4,159674.0,0.0,572876.0,90065.0,822615.0
Nebraska,2023,Q4,4.0,769191.0,894298.0,593960.0,2257453.0
Nevada,2023,Q4,428380.0,2046527.0,0.0,0.0,2474907.0
New Hampshire,2023,Q4,11147.0,0.0,17494.0,270150.0,298791.0
New Jersey,2023,Q4,4944.0,3219294.0,3865020.0,1989381.0,9078639.0
New Mexico,2023,Q4,4705.0,1041056.0,637400.0,78791.0,1761952.0
New York,2023,Q4,0.0,5094092.0,10362355.0,5137714.0,20594161.0
North Carolina,2023,Q4,0.0,2992243.0,3870764.0,147824.0,7010831.0
North Dakota,2023,Q4,122.0,345549.0,60687.0,33555.0,439913.0
Ohio,2023,Q4,0.0,4220515.0,2447626.0,20.0,6668161.0
Oklahoma,2023,Q4,0.0,964628.0,1101473.0,59625.0,2125726.0
Oregon,2023,Q4,6713.0,313753.0,2983595.0,364058.0,3668119.0
Pennsylvania,2023,Q4,216.0,3916748.0,3603191.0,1053728.0,8573883.0
Rhode Island,2023,Q4,1159.0,407422.0,403139.0,124801.0,936521.0
South Carolina,2023,Q4,25473.0,1375365.0,1684846.0,127418.0,3213102.0
South Dakota,2023,Q4,0.0,427174.0,0.0,4245.0,431419.0
Tennessee,2023,Q4,0.0,3416639.0,174.0,447070.0,3863883.0
Texas,2023,Q4,0.0,12128078.0,0.0,0.0,12128078.0
Unnamed: 2,2023,Q4,0.0,0.0,0.0,0.0,0.0
Utah,2023,Q4,0.0,1168175.0,2116638.0,188333.0,3473146.0
Vermont,2023,Q4,97941.0,152031.0,273352.0,50776.0,574100.0
Virginia,2023,Q4,-158.0,1860858.0,3930237.0,1203979.0,6994916.0
Washington,2023,Q4,407602.0,5779643.0,0.0,0.0,6187245.0
"Washington, D.C.",2023,Q4,25478.0,516325.0,640274.0,217079.0,1399156.0
West Virginia,2023,Q4,1923.0,472110.0,581835.0,92380.0,1148248.0
Wisconsin,2023,Q4,43009.0,1843463.0,2568520.0,1070392.0,5525384.0
Wyoming,2023,Q4,147355.0,270818.0,0.0,0.0,418173.0
