State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2018,Q4,159874.0,721236.0,930492.0,96347.0,1907949.0
Alaska,2018,Q4,13.0,0.0,0.0,72886.0,72899.0
Arizona,2018,Q4,240268.0,1780728.0,1160302.0,124207.0,3305505.0
Arkansas,2018,Q4,551134.0,898556.0,696586.0,101812.0,2248088.0
California,2018,Q4,700655.0,9013820.0,17846318.0,2376562.0,29937355.0
Colorado,2018,Q4,0.0,835313.0,1786273.0,127251.0,2748837.0
Connecticut,2018,Q4,0.0,1246782.0,1701326.0,293795.0,3241903.0
Delaware,2018,Q4,0.0,0.0,361870.0,56578.0,418448.0
Florida,2018,Q4,0.0,6668100.0,0.0,658330.0,7326430.0
Georgia,2018,Q4,212721.0,1539935.0,3126832.0,269662.0,5149150.0
Hawaii,2018,Q4,0.0,911175.0,577268.0,41753.0,1530196.0
Idaho,2018,Q4,0.0,473946.0,342142.0,49707.0,865795.0
Illinois,2018,Q4,17223.0,3140280.0,3880658.0,665086.0,7703247.0
Indiana,2018,Q4,2726.0,1966900.0,1909025.0,197800.0,4076451.0
Iowa,2018,Q4,0.0,822438.0,1060199.0,67882.0,1950519.0
Kansas,2018,Q4,5844.0,834414.0,774021.0,102884.0,1717163.0
Kentucky,2018,Q4,382241.0,986139.0,1068370.0,172206.0,2608956.0
Louisiana,2018,Q4,13641.0,995505.0,953890.0,168121.0,2131157.0
Maine,2018,Q4,2762.0,400198.0,414856.0,60466.0,878282.0
Maryland,2018,Q4,85210.0,1217000.0,2026643.0,194537.0,3523390.0
Massachusetts,2018,Q4,5.0,1705850.0,3602822.0,412134.0,5720811.0
Michigan,2018,Q4,1297801.0,2214436.0,2562461.0,205396.0,6280094.0
Minnesota,2018,Q4,349083.0,1546772.0,2507898.0,370727.0,4774480.0
Mississippi,2018,Q4,13809.0,882007.0,474649.0,80187.0,1450652.0
Missouri,2018,Q4,5658.0,914831.0,1422606.0,94645.0,2437740.0
Montana,2018,Q4,140634.0,0.0,304903.0,45292.0,490829.0
Nebraska,2018,Q4,8.0,456457.0,536018.0,73608.0,1066091.0
Nevada,2018,Q4,105265.0,1301151.0,0.0,0.0,1406416.0
New Hampshire,2018,Q4,12678.0,0.0,14876.0,252277.0,279831.0
New Jersey,2018,Q4,5014.0,2408729.0,3082194.0,735591.0,6231528.0
New Mexico,2018,Q4,4293.0,698110.0,338264.0,42333.0,1083000.0
New York,2018,Q4,0.0,3889733.0,8868342.0,968867.0,13726942.0
North Carolina,2018,Q4,0.0,2114176.0,2959047.0,5222.0,5078445.0
North Dakota,2018,Q4,134.0,280050.0,73729.0,21071.0,374984.0
Ohio,2018,Q4,0.0,3259047.0,2259980.0,1018.0,5520045.0
Oklahoma,2018,Q4,0.0,786572.0,835731.0,-35196.0,1587107.0
Oregon*,2018,Q4,6383.0,0.0,2144100.0,184800.0,2335283.0
Pennsylvania,2018,Q4,485.0,2804905.0,2895492.0,604792.0,6305674.0
Rhode Island,2018,Q4,0.0,269630.0,332117.0,22383.0,624130.0
South Carolina,2018,Q4,12521.0,816233.0,1218183.0,-4672.0,2042265.0
South Dakota,2018,Q4,0.0,290453.0,0.0,3680.0,294133.0
Tennessee,2018,Q4,0.0,2318907.0,6131.0,225019.0,2550057.0
Texas,2018,Q4,0.0,8304723.0,0.0,0.0,8304723.0
Utah,2018,Q4,0.0,698053.0,1094358.0,97250.0,1889661.0
Vermont,2018,Q4,93376.0,104012.0,193280.0,25544.0,416212.0
Virginia,2018,Q4,12.0,888077.0,3389933.0,164734.0,4442756.0
Washington,2018,Q4,262674.0,4164271.0,0.0,0.0,4426945.0
"Washington, D.C.",2018,Q4,38194.0,402295.0,443806.0,116450.0,1000745.0
West Virginia,2018,Q4,1794.0,359796.0,476190.0,50459.0,888239.0
Wisconsin,2018,Q4,50343.0,1424489.0,2227187.0,194853.0,3896872.0
Wyoming,2018,Q4,134719.0,194662.0,0.0,0.0,329381.0
