State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2021,Q3,14635.0,748272.0,1237471.0,269692.0,2270070.0
Alaska,2021,Q3,82100.0,0.0,0.0,68034.0,150134.0
Arizona,2021,Q3,535152.0,2455697.0,1622489.0,259093.0,4872431.0
Arkansas,2021,Q3,119736.0,1122997.0,796065.0,191592.0,2230390.0
California,2021,Q3,823712.0,11194401.0,28544328.0,4198966.0,44761407.0
Colorado,2021,Q3,0.0,1047555.0,2492555.0,310024.0,3850134.0
Connecticut,2021,Q3,0.0,880333.0,1316988.0,483958.0,2681279.0
Delaware,2021,Q3,0.0,0.0,472852.0,93655.0,566507.0
Florida,2021,Q3,0.0,8578853.0,0.0,873230.0,9452083.0
Georgia,2021,Q3,210265.0,2003964.0,3587619.0,459085.0,6260933.0
Hawaii,2021,Q3,0.0,1062322.0,809229.0,76755.0,1948306.0
Idaho,2021,Q3,0.0,748598.0,490652.0,105879.0,1345129.0
Illinois,2021,Q3,17228.0,3748216.0,4613394.0,1615087.0,9993925.0
Indiana,2021,Q3,0.0,2565732.0,2429860.0,378187.0,5373779.0
Iowa,2021,Q3,744.0,825268.0,756415.0,166984.0,1749411.0
Kansas,2021,Q3,24913.0,1046025.0,964916.0,210485.0,2246339.0
Kentucky,2021,Q3,63065.0,1238583.0,1262295.0,290606.0,2854549.0
Louisiana,2021,Q3,15500.0,1062688.0,1013269.0,122313.0,2213770.0
Maine,2021,Q3,35530.0,623209.0,548347.0,93964.0,1301050.0
Maryland,2021,Q3,445305.0,299186.0,2142503.0,500000.0,3386994.0
Massachusetts,2021,Q3,178.0,2125506.0,4645256.0,1126436.0,7897376.0
Michigan,2021,Q3,870043.0,3537004.0,3069873.0,625860.0,8102780.0
Minnesota,2021,Q3,22159.0,1649075.0,3442332.0,579757.0,5693323.0
Mississippi,2021,Q3,5482.0,1161949.0,545123.0,123942.0,1836496.0
Missouri,2021,Q3,395.0,1197303.0,1808090.0,158363.0,3164151.0
Montana,2021,Q3,14588.0,0.0,434743.0,78268.0,527599.0
Nebraska,2021,Q3,48.0,654554.0,725337.0,163928.0,1543867.0
Nevada,2021,Q3,296941.0,430914.0,0.0,0.0,727855.0
New Hampshire,2021,Q3,7844.0,0.0,20225.0,158278.0,186347.0
New Jersey,2021,Q3,0.0,1906020.0,3366766.0,1403261.0,6676047.0
New Mexico,2021,Q3,2570.0,753756.0,339465.0,138928.0,1234719.0
New York,2021,Q3,0.0,4473873.0,13615823.0,1779181.0,19868877.0
North Carolina,2021,Q3,0.0,2744924.0,3572119.0,358450.0,6675493.0
North Dakota,2021,Q3,51.0,362665.0,104276.0,65176.0,532168.0
Ohio,2021,Q3,0.0,3796658.0,2586031.0,435.0,6383124.0
Oklahoma,2021,Q3,0.0,865659.0,928177.0,139856.0,1933692.0
Oregon,2021,Q3,7129.0,0.0,2522837.0,394777.0,2924743.0
Pennsylvania,2021,Q3,1535.0,3686209.0,3280507.0,1094134.0,8062385.0
Rhode Island,2021,Q3,1064.0,389106.0,388065.0,96792.0,875027.0
South Carolina,2021,Q3,16844.0,1192628.0,2394580.0,252929.0,3856981.0
South Dakota,2021,Q3,0.0,401904.0,0.0,2209.0,404113.0
Tennessee,2021,Q3,0.0,3109357.0,3495.0,548073.0,3660925.0
Texas,2021,Q3,0.0,10215442.0,0.0,0.0,10215442.0
Unnamed: 2,2021,Q3,0.0,0.0,0.0,0.0,0.0
Utah,2021,Q3,0.0,1048768.0,1235171.0,191258.0,2475197.0
Vermont,2021,Q3,1227.0,135312.0,243840.0,48869.0,429248.0
Virginia,2021,Q3,689.0,1553185.0,4121238.0,509670.0,6184782.0
Washington,2021,Q3,1386458.0,4966662.0,0.0,0.0,6353120.0
"Washington, D.C.",2021,Q3,1448576.0,340563.0,636172.0,186251.0,2611562.0
West Virginia,2021,Q3,3169.0,384628.0,512725.0,75281.0,975803.0
Wisconsin,2021,Q3,3463.0,1177764.0,1492824.0,682146.0,3356197.0
Wyoming,2021,Q3,17746.0,225809.0,0.0,0.0,243555.0
