State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2017,Q1,164622.0,642847.0,970429.0,77563.0,1855461.0
Alaska,2017,Q1,21.0,0.0,0.0,4553.0,4574.0
Arizona,2017,Q1,235752.0,1635747.0,725440.0,-1327.0,2595612.0
Arkansas,2017,Q1,98014.0,833868.0,595234.0,41563.0,1568679.0
California,2017,Q1,687739.0,9705634.0,20731687.0,1961021.0,33086081.0
Colorado,2017,Q1,0.0,729775.0,1438123.0,43254.0,2211152.0
Connecticut,2017,Q1,0.0,1088959.0,1923647.0,224529.0,3237135.0
Delaware,2017,Q1,0.0,0.0,417759.0,44422.0,462181.0
Florida,2017,Q1,0.0,6544700.0,0.0,351320.0,6896020.0
Georgia,2017,Q1,235806.0,1424744.0,2451301.0,104280.0,4216131.0
Hawaii,2017,Q1,0.0,831893.0,556240.0,-27039.0,1361094.0
Idaho,2017,Q1,0.0,382518.0,311336.0,28467.0,722321.0
Illinois,2017,Q1,14122.0,2681944.0,3225447.0,494879.0,6416392.0
Indiana,2017,Q1,2675.0,1889497.0,1720243.0,97138.0,3709553.0
Iowa,2017,Q1,901.0,768126.0,1035902.0,52067.0,1856996.0
Kansas,2017,Q1,403451.0,796231.0,470606.0,54096.0,1724384.0
Kentucky,2017,Q1,138096.0,818714.0,943978.0,77555.0,1978343.0
Louisiana*,2017,Q1,13109.0,1109853.0,746411.0,37111.0,1906484.0
Maine,2017,Q1,6932.0,314450.0,273719.0,20857.0,615958.0
Maryland,2017,Q1,69884.0,1110906.0,2271208.0,122428.0,3574426.0
Massachusetts,2017,Q1,52.0,1511742.0,3261630.0,767043.0,5540467.0
Michigan,2017,Q1,33467.0,1429511.0,2014332.0,54290.0,3531600.0
Minnesota,2017,Q1,6203.0,1392993.0,2519857.0,265723.0,4184776.0
Mississippi,2017,Q1,24917.0,841287.0,332654.0,72258.0,1271116.0
Missouri,2017,Q1,21614.0,925600.0,1525847.0,-3672.0,2469389.0
Montana,2017,Q1,74439.0,0.0,246227.0,4724.0,325390.0
Nebraska,2017,Q1,29.0,459425.0,478504.0,56244.0,994202.0
Nevada,2017,Q1,66628.0,1137370.0,0.0,0.0,1203998.0
New Hampshire,2017,Q1,365665.0,0.0,17940.0,125154.0,508759.0
New Jersey,2017,Q1,0.0,2266853.0,3374669.0,233332.0,5874854.0
New Mexico,2017,Q1,46343.0,520625.0,80162.0,23589.0,670719.0
New York,2017,Q1,0.0,3351119.0,14687972.0,568507.0,18607598.0
North Carolina,2017,Q1,0.0,1847264.0,3015926.0,88235.0,4951425.0
North Dakota,2017,Q1,3204.0,256419.0,83071.0,11891.0,354585.0
Ohio,2017,Q1,0.0,3025175.0,1585262.0,3660.0,4614097.0
Oklahoma,2017,Q1,0.0,593069.0,615225.0,7733.0,1216027.0
Oregon*,2017,Q1,4839.0,0.0,1818419.0,81761.0,1905019.0
Pennsylvania,2017,Q1,1497.0,2503707.0,2978805.0,519917.0,6003926.0
Rhode Island,2017,Q1,1150.0,230055.0,238084.0,58497.0,527786.0
South Carolina,2017,Q1,5633.0,747518.0,507285.0,57821.0,1318257.0
South Dakota,2017,Q1,0.0,245919.0,0.0,11442.0,257361.0
Tennessee,2017,Q1,0.0,2124340.0,19194.0,354362.0,2497896.0
Texas,2017,Q1,0.0,7121790.0,0.0,0.0,7121790.0
Utah,2017,Q1,0.0,511599.0,700407.0,46158.0,1258164.0
Vermont,2017,Q1,925.0,95573.0,156860.0,28514.0,281872.0
Virginia*,2017,Q1,-3100.0,959954.0,2909488.0,145557.0,4011899.0
Washington,2017,Q1,1033721.0,3503402.0,0.0,0.0,4537123.0
"Washington, D.C.",2017,Q1,912235.0,336893.0,425896.0,101268.0,1776292.0
West Virginia,2017,Q1,1642.0,315224.0,417649.0,2635.0,737150.0
Wisconsin,2017,Q1,34223.0,1240554.0,1664765.0,235843.0,3175385.0
Wyoming,2017,Q1,32696.0,138967.0,0.0,0.0,171663.0
