State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2016,Q4,157014.0,662203.0,857058.0,76207.0,1752482.0
Alaska,2016,Q4,101.0,0.0,0.0,7642.0,7743.0
Arizona,2016,Q4,235752.0,1562848.0,1091527.0,109564.0,2999691.0
Arkansas,2016,Q4,542350.0,848857.0,663900.0,84726.0,2139833.0
California,2016,Q4,625556.0,9408164.0,18543988.0,1908421.0,30486129.0
Colorado,2016,Q4,0.0,721693.0,1610907.0,101430.0,2434030.0
Connecticut,2016,Q4,0.0,1037025.0,1756534.0,159771.0,2953330.0
Delaware,2016,Q4,0.0,0.0,334216.0,42384.0,376600.0
Florida,2016,Q4,0.0,5819300.0,0.0,517350.0,6336650.0
Georgia,2016,Q4,244373.0,1386994.0,2902808.0,201827.0,4736002.0
Hawaii,2016,Q4,0.0,783988.0,510736.0,34881.0,1329605.0
Idaho,2016,Q4,0.0,404404.0,418938.0,43584.0,866926.0
Illinois,2016,Q4,16899.0,2914201.0,2948390.0,451814.0,6331304.0
Indiana,2016,Q4,2675.0,1847219.0,1799676.0,199011.0,3848581.0
Iowa,2016,Q4,0.0,804582.0,953526.0,81203.0,1839311.0
Kansas,2016,Q4,5434.0,780535.0,587821.0,63467.0,1437257.0
Kentucky,2016,Q4,341957.0,863937.0,1067896.0,195402.0,2469192.0
Louisiana*,2016,Q4,13385.0,1065908.0,690009.0,-62726.0,1706576.0
Maine,2016,Q4,4412.0,358939.0,388497.0,34385.0,786233.0
Maryland,2016,Q4,90476.0,1149648.0,1899542.0,157398.0,3297064.0
Massachusetts,2016,Q4,10.0,1524666.0,3344397.0,317067.0,5186140.0
Michigan,2016,Q4,1250788.0,2146768.0,2275871.0,305323.0,5978750.0
Minnesota,2016,Q4,366686.0,1470230.0,2466056.0,297123.0,4600095.0
Mississippi,2016,Q4,13564.0,834503.0,465028.0,51746.0,1364841.0
Missouri,2016,Q4,7920.0,861952.0,1447982.0,47970.0,2365824.0
Montana,2016,Q4,77043.0,0.0,262072.0,30118.0,369233.0
Nebraska,2016,Q4,4.0,436725.0,491768.0,44248.0,972745.0
Nevada,2016,Q4,101955.0,1141257.0,0.0,0.0,1243212.0
New Hampshire,2016,Q4,9204.0,0.0,8277.0,131186.0,148667.0
New Jersey,2016,Q4,4761.0,2303662.0,3085350.0,469849.0,5863622.0
New Mexico*,2016,Q4,4213.0,516780.0,296824.0,30368.0,848185.0
New York,2016,Q4,0.0,3518404.0,9378674.0,1177214.0,14074292.0
North Carolina,2016,Q4,0.0,1914448.0,2860851.0,25457.0,4800756.0
North Dakota,2016,Q4,132.0,274020.0,62633.0,-3874.0,332911.0
Ohio,2016,Q4,0.0,3156570.0,2093724.0,230.0,5250524.0
Oklahoma,2016,Q4,0.0,607763.0,713697.0,-11786.0,1309674.0
Oregon,2016,Q4,6270.0,0.0,1913902.0,142581.0,2062753.0
Pennsylvania,2016,Q4,160.0,2613136.0,2621501.0,477291.0,5712088.0
Rhode Island,2016,Q4,1.0,243089.0,316915.0,21269.0,581274.0
South Carolina,2016,Q4,10424.0,777165.0,1278134.0,51749.0,2117472.0
South Dakota,2016,Q4,0.0,268328.0,0.0,4535.0,272863.0
Tennessee,2016,Q4,0.0,2082557.0,12513.0,299539.0,2394609.0
Texas,2016,Q4,0.0,6991410.0,0.0,0.0,6991410.0
Utah,2016,Q4,0.0,488755.0,938337.0,56290.0,1483382.0
Vermont,2016,Q4,88581.0,93631.0,175288.0,17179.0,374679.0
Virginia*,2016,Q4,11.0,976401.0,3186776.0,117249.0,4280437.0
Washington,2016,Q4,143589.0,3570804.0,0.0,0.0,3714393.0
"Washington, D.C.",2016,Q4,32057.0,359646.0,411346.0,128548.0,931597.0
West Virginia,2016,Q4,1674.0,324763.0,426297.0,25764.0,778498.0
Wisconsin,2016,Q4,51364.0,1292654.0,1922701.0,173795.0,3440514.0
Wyoming,2016,Q4,128903.0,144945.0,0.0,0.0,273848.0
