State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2020,Q2,21015.0,865309.0,844508.0,79193.0,1810025.0
Alaska,2020,Q2,38596.0,0.0,0.0,5712.0,44308.0
Arizona,2020,Q2,117782.0,1873854.0,1138818.0,137399.0,3267853.0
Arkansas,2020,Q2,401820.0,910685.0,741333.0,176390.0,2230228.0
California,2020,Q2,669656.0,8951230.0,16331941.0,2237224.0,28190051.0
Colorado,2020,Q2,0.0,752100.0,1832795.0,119228.0,2704123.0
Connecticut,2020,Q2,0.0,1490802.0,3490268.0,679147.0,5660217.0
Delaware,2020,Q2,0.0,0.0,408131.0,76838.0,484969.0
Florida,2020,Q2,0.0,5696543.0,0.0,794510.0,6491053.0
Georgia,2020,Q2,127896.0,1459541.0,2747045.0,214068.0,4548550.0
Hawaii,2020,Q2,0.0,750532.0,697363.0,6235.0,1454130.0
Idaho,2020,Q2,0.0,516781.0,801073.0,92332.0,1410186.0
Illinois,2020,Q2,16888.0,2559416.0,4596650.0,1098307.0,8271261.0
Indiana,2020,Q2,0.0,1917285.0,2125220.0,230968.0,4273473.0
Iowa,2020,Q2,616.0,1108180.0,1203607.0,324343.0,2636746.0
Kansas,2020,Q2,293142.0,821449.0,861884.0,109368.0,2085843.0
Kentucky,2020,Q2,48366.0,984351.0,1410202.0,267743.0,2710662.0
Louisiana,2020,Q2,6732.0,865696.0,772537.0,146982.0,1791947.0
Maine,2020,Q2,549.0,352691.0,658427.0,79029.0,1090696.0
Maryland,2020,Q2,1931.0,1547869.0,3848772.0,325053.0,5723625.0
Massachusetts,2020,Q2,64.0,1487412.0,5904234.0,613443.0,8005153.0
Michigan,2020,Q2,81556.0,1950385.0,2326492.0,122654.0,4481087.0
Minnesota,2020,Q2,384241.0,1757919.0,2724580.0,518922.0,5385662.0
Mississippi,2020,Q2,5853.0,1068038.0,498053.0,140790.0,1712734.0
Missouri,2020,Q2,2479.0,906421.0,1328795.0,115662.0,2353357.0
Montana,2020,Q2,133430.0,0.0,330643.0,65606.0,529679.0
Nebraska,2020,Q2,41.0,503981.0,650687.0,92924.0,1247633.0
Nevada,2020,Q2,124034.0,2205707.0,0.0,0.0,2329741.0
New Hampshire,2020,Q2,19174.0,0.0,65235.0,214403.0,298812.0
New Jersey,2020,Q2,0.0,4320326.0,5293958.0,1237447.0,10851731.0
New Mexico,2020,Q2,54035.0,723495.0,405071.0,39186.0,1221787.0
New York,2020,Q2,0.0,3215609.0,8228357.0,778991.0,12222957.0
North Carolina,2020,Q2,0.0,1969736.0,3302472.0,318404.0,5590612.0
North Dakota,2020,Q2,696.0,218396.0,94846.0,23234.0,337172.0
Ohio,2020,Q2,0.0,3048168.0,1959756.0,3215.0,5011139.0
Oklahoma,2020,Q2,0.0,715703.0,855995.0,40405.0,1612103.0
Oregon,2020,Q2,5194.0,0.0,2020837.0,287626.0,2313657.0
Pennsylvania,2020,Q2,35368.0,2437543.0,2963028.0,596333.0,6032272.0
Rhode Island,2020,Q2,1500.0,255470.0,281773.0,34296.0,573039.0
South Carolina,2020,Q2,7963.0,852719.0,1266437.0,72900.0,2200019.0
South Dakota,2020,Q2,0.0,278814.0,0.0,16802.0,295616.0
Tennessee,2020,Q2,0.0,2270188.0,36090.0,450594.0,2756872.0
Texas,2020,Q2,0.0,8963726.0,0.0,0.0,8963726.0
Utah,2020,Q2,0.0,690276.0,1094381.0,105022.0,1889679.0
Vermont,2020,Q2,1052872.0,98650.0,175723.0,21109.0,1348354.0
Virginia,2020,Q2,36294.0,1522051.0,4431193.0,617421.0,6606959.0
Washington,2020,Q2,319343.0,3733950.0,0.0,0.0,4053293.0
"Washington, D.C.",2020,Q2,442152.0,222473.0,517658.0,191548.0,1373831.0
West Virginia,2020,Q2,843.0,374116.0,490051.0,31996.0,897006.0
Wisconsin,2020,Q2,50281.0,1957911.0,2995122.0,512016.0,5515330.0
Wyoming,2020,Q2,105243.0,158566.0,0.0,0.0,263809.0
