State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2023,Q3,18817.0,1168014.0,1260429.0,522559.0,2969819.0
Alaska,2023,Q3,90422.0,0.0,0.0,65934.0,156356.0
Arizona,2023,Q3,340329.0,2818283.0,1268550.0,432015.0,4859177.0
Arkansas,2023,Q3,118489.0,1270874.0,740239.0,236190.0,2365792.0
California,2023,Q3,883781.0,12626002.0,22966742.0,3691926.0,40168451.0
Colorado,2023,Q3,0.0,1219245.0,2504595.0,666102.0,4389942.0
Connecticut,2023,Q3,0.0,903195.0,1373435.0,450112.0,2726742.0
Delaware,2023,Q3,0.0,0.0,539722.0,109105.0,648827.0
Florida,2023,Q3,0.0,9620460.0,0.0,1211900.0,10832360.0
Georgia,2023,Q3,215275.0,2254703.0,3906154.0,782097.0,7158229.0
Hawaii,2023,Q3,0.0,803778.0,494973.0,16918.0,1315669.0
Idaho,2023,Q3,0.0,814058.0,525488.0,300409.0,1639955.0
Illinois,2023,Q3,17852.0,4058311.0,4950686.0,2883904.0,11910753.0
Indiana,2023,Q3,0.0,2780618.0,1857800.0,266902.0,4905320.0
Iowa,2023,Q3,0.0,666386.0,698795.0,203897.0,1569078.0
Kansas,2023,Q3,25632.0,1122913.0,1003882.0,343325.0,2495752.0
Kentucky,2023,Q3,70741.0,1473426.0,1317793.0,509708.0,3371668.0
Louisiana,2023,Q3,16062.0,1226520.0,1028115.0,170598.0,2441295.0
Maine,2023,Q3,35482.0,690407.0,611365.0,103890.0,1441144.0
Maryland,2023,Q3,637179.0,1163209.0,2016501.0,625767.0,4442656.0
Massachusetts,2023,Q3,133.0,2313987.0,4701418.0,1416860.0,8432398.0
Michigan,2023,Q3,1001942.0,3730440.0,3055094.0,975676.0,8763152.0
Minnesota,2023,Q3,24948.0,2256171.0,3241345.0,1307494.0,6829958.0
Mississippi,2023,Q3,6987.0,1283177.0,569704.0,156483.0,2016351.0
Missouri,2023,Q3,701.0,1431481.0,1865654.0,201067.0,3498903.0
Montana,2023,Q3,21003.0,0.0,480764.0,69394.0,571161.0
Nebraska,2023,Q3,49.0,730167.0,790347.0,170195.0,1690758.0
Nevada,2023,Q3,357181.0,699351.0,0.0,0.0,1056532.0
New Hampshire,2023,Q3,10761.0,0.0,25604.0,270248.0,306613.0
New Jersey,2023,Q3,0.0,2126762.0,3130709.0,1717858.0,6975329.0
New Mexico,2023,Q3,2663.0,1110741.0,654200.0,71399.0,1839003.0
New York,2023,Q3,0.0,5088862.0,11443305.0,5138667.0,21670834.0
North Carolina,2023,Q3,0.0,3148178.0,3681575.0,392869.0,7222622.0
North Dakota,2023,Q3,28.0,352532.0,122162.0,56547.0,531269.0
Ohio,2023,Q3,0.0,4102298.0,2812516.0,111.0,6914925.0
Oklahoma,2023,Q3,0.0,958890.0,1054439.0,186961.0,2200290.0
Oregon,2023,Q3,5174.0,301708.0,3420824.0,485260.0,4212966.0
Pennsylvania,2023,Q3,2128.0,3919259.0,3689001.0,1227547.0,8837935.0
Rhode Island,2023,Q3,1150.0,433966.0,414159.0,107154.0,956429.0
South Carolina,2023,Q3,9948.0,1107104.0,1664915.0,289971.0,3071938.0
South Dakota,2023,Q3,0.0,465444.0,0.0,2038.0,467482.0
Tennessee,2023,Q3,0.0,3560467.0,255.0,665372.0,4226094.0
Texas,2023,Q3,0.0,12351558.0,0.0,0.0,12351558.0
Unnamed: 2,2023,Q3,0.0,0.0,0.0,0.0,0.0
Utah,2023,Q3,0.0,1058894.0,520706.0,680535.0,2260135.0
Vermont,2023,Q3,659.0,150294.0,269172.0,55846.0,475971.0
Virginia,2023,Q3,-576.0,1872656.0,3911681.0,964980.0,6748741.0
Washington,2023,Q3,1656689.0,5970095.0,41016.0,0.0,7667800.0
"Washington, D.C.",2023,Q3,1478727.0,485282.0,738953.0,261625.0,2964587.0
West Virginia,2023,Q3,3840.0,430663.0,607514.0,125943.0,1167960.0
Wisconsin,2023,Q3,3123.0,1299404.0,1523100.0,621436.0,3447063.0
Wyoming,2023,Q3,46943.0,282852.0,0.0,0.0,329795.0
