State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2021,Q2,20472.0,1104085.0,1402043.0,406719.0,2933319.0
Alaska,2021,Q2,38154.0,0.0,0.0,77083.0,115237.0
Arizona,2021,Q2,123320.0,2468063.0,2107532.0,390524.0,5089439.0
Arkansas,2021,Q2,448028.0,1191004.0,1047328.0,309262.0,2995622.0
California,2021,Q2,762754.0,13072395.0,46442542.0,11637627.0,71915318.0
Colorado,2021,Q2,0.0,991892.0,2910471.0,581664.0,4484027.0
Connecticut,2021,Q2,0.0,1975522.0,4337193.0,946853.0,7259568.0
Delaware,2021,Q2,0.0,0.0,679583.0,151640.0,831223.0
Florida,2021,Q2,0.0,8800563.0,0.0,1652090.0,10452653.0
Georgia,2021,Q2,213127.0,2015228.0,4083554.0,830365.0,7142274.0
Hawaii,2021,Q2,0.0,954269.0,1188716.0,104740.0,2247725.0
Idaho,2021,Q2,0.0,701148.0,1069010.0,171162.0,1941320.0
Illinois,2021,Q2,17682.0,3727098.0,6786206.0,2582228.0,13113214.0
Indiana,2021,Q2,0.0,2566180.0,3344594.0,693282.0,6604056.0
Iowa,2021,Q2,273.0,1418889.0,1328265.0,394371.0,3141798.0
Kansas,2021,Q2,300186.0,1027660.0,1580269.0,325297.0,3233412.0
Kentucky,2021,Q2,79177.0,1293030.0,1623269.0,405905.0,3401381.0
Louisiana,2021,Q2,7049.0,1136004.0,1066873.0,371068.0,2580994.0
Maine,2021,Q2,1162.0,537589.0,745128.0,132856.0,1416735.0
Maryland,2021,Q2,103291.0,2220727.0,2936593.0,942570.0,6203181.0
Massachusetts,2021,Q2,124.0,2395696.0,7094296.0,1272924.0,10763040.0
Michigan,2021,Q2,95538.0,3052418.0,3760021.0,608285.0,7516262.0
Minnesota,2021,Q2,411391.0,2137417.0,5139319.0,1007670.0,8695797.0
Mississippi,2021,Q2,4859.0,1231784.0,710836.0,295066.0,2242545.0
Missouri,2021,Q2,2416.0,1110912.0,2357838.0,248544.0,3719710.0
Montana,2021,Q2,131366.0,0.0,607944.0,134166.0,873476.0
Nebraska,2021,Q2,42.0,629718.0,947784.0,241972.0,1819516.0
Nevada,2021,Q2,148572.0,3030061.0,0.0,0.0,3178633.0
New Hampshire,2021,Q2,13700.0,0.0,105794.0,420900.0,540394.0
New Jersey,2021,Q2,0.0,5711976.0,6523607.0,2467409.0,14702992.0
New Mexico,2021,Q2,56576.0,799397.0,383168.0,44463.0,1283604.0
New York,2021,Q2,0.0,4280300.0,19018166.0,2333853.0,25632319.0
North Carolina,2021,Q2,0.0,2640633.0,5211234.0,842487.0,8694354.0
North Dakota,2021,Q2,571.0,324671.0,138289.0,64285.0,527816.0
Ohio,2021,Q2,0.0,4058473.0,3287387.0,78.0,7345938.0
Oklahoma,2021,Q2,0.0,868936.0,1051235.0,262819.0,2182990.0
Oregon*,2021,Q2,5438.0,0.0,3277278.0,452360.0,3735076.0
Pennsylvania,2021,Q2,37177.0,3728605.0,4849150.0,1560760.0,10175692.0
Rhode Island,2021,Q2,1822.0,368506.0,458922.0,113937.0,943187.0
South Carolina,2021,Q2,8337.0,1125316.0,1665729.0,122370.0,2921752.0
South Dakota,2021,Q2,0.0,344321.0,0.0,23934.0,368255.0
Tennessee,2021,Q2,0.0,3116002.0,68685.0,1124344.0,4309031.0
Texas,2021,Q2,0.0,14117259.0,0.0,0.0,14117259.0
Utah,2021,Q2,0.0,1010125.0,2447142.0,369225.0,3826492.0
Vermont,2021,Q2,1102377.0,130007.0,362276.0,77533.0,1672193.0
Virginia,2021,Q2,43069.0,2032979.0,5439802.0,1016565.0,8532415.0
Washington,2021,Q2,518907.0,5278459.0,0.0,0.0,5797366.0
"Washington, D.C.",2021,Q2,418958.0,299971.0,826615.0,355979.0,1901523.0
West Virginia,2021,Q2,1396.0,488994.0,711230.0,136657.0,1338277.0
Wisconsin,2021,Q2,52645.0,2588588.0,3857000.0,658606.0,7156839.0
Wyoming,2021,Q2,105304.0,175630.0,0.0,0.0,280934.0
