State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2019,Q4,164007.0,851481.0,1005024.0,104642.0,2125154.0
Alaska,2019,Q4,11.0,0.0,0.0,50912.0,50923.0
Arizona,2019,Q4,243954.0,1917931.0,1289373.0,171064.0,3622322.0
Arkansas,2019,Q4,592045.0,946365.0,742690.0,101481.0,2382581.0
California,2019,Q4,727349.0,10015601.0,20030083.0,2989189.0,33762222.0
Colorado,2019,Q4,0.0,871572.0,1883188.0,143657.0,2898417.0
Connecticut,2019,Q4,0.0,1223002.0,1629096.0,356835.0,3208933.0
Delaware,2019,Q4,0.0,0.0,376955.0,56980.0,433935.0
Florida,2019,Q4,0.0,6900800.0,0.0,591060.0,7491860.0
Georgia,2019,Q4,160800.0,1571489.0,3111104.0,324284.0,5167677.0
Hawaii,2019,Q4,0.0,930273.0,612379.0,20621.0,1563273.0
Idaho,2019,Q4,0.0,523809.0,378610.0,58770.0,961189.0
Illinois,2019,Q4,17487.0,3254043.0,4064933.0,872376.0,8208839.0
Indiana,2019,Q4,2768.0,2070845.0,2013788.0,248064.0,4335465.0
Iowa,2019,Q4,0.0,897591.0,1085174.0,74058.0,2056823.0
Kansas,2019,Q4,6363.0,878492.0,836623.0,136918.0,1858396.0
Kentucky,2019,Q4,388105.0,1034129.0,1092984.0,165503.0,2680721.0
Louisiana,2019,Q4,13850.0,1048283.0,1013031.0,183417.0,2258581.0
Maine,2019,Q4,1876.0,431006.0,428776.0,40120.0,901778.0
Maryland,2019,Q4,282561.0,1288702.0,2129699.0,215715.0,3916677.0
Massachusetts,2019,Q4,5.0,1790719.0,3744265.0,455990.0,5990979.0
Michigan,2019,Q4,1420393.0,2312219.0,2678022.0,306483.0,6717117.0
Minnesota,2019,Q4,353316.0,1640255.0,2644281.0,420061.0,5057913.0
Mississippi,2019,Q4,14995.0,922890.0,505645.0,98632.0,1542162.0
Missouri,2019,Q4,8844.0,936887.0,1522051.0,86764.0,2554546.0
Montana,2019,Q4,147742.0,0.0,340269.0,64483.0,552494.0
Nebraska,2019,Q4,7.0,532383.0,589525.0,80305.0,1202220.0
Nevada,2019,Q4,107743.0,1414885.0,0.0,0.0,1522628.0
New Hampshire,2019,Q4,12872.0,0.0,15798.0,275230.0,303900.0
New Jersey,2019,Q4,4963.0,2583252.0,3308115.0,836569.0,6732899.0
New Mexico,2019,Q4,4359.0,806856.0,277831.0,8165.0,1097211.0
New York,2019,Q4,0.0,4091203.0,9335636.0,1207184.0,14634023.0
North Carolina,2019,Q4,0.0,2212799.0,3035854.0,29334.0,5277987.0
North Dakota,2019,Q4,172.0,279659.0,75478.0,24650.0,379959.0
Ohio,2019,Q4,0.0,3383426.0,2257497.0,78.0,5641001.0
Oklahoma,2019,Q4,0.0,754638.0,906327.0,96115.0,1757080.0
Oregon,2019,Q4,6481.0,0.0,2277034.0,201614.0,2485129.0
Pennsylvania,2019,Q4,837.0,3131378.0,2963196.0,663614.0,6759025.0
Rhode Island,2019,Q4,0.0,294255.0,345052.0,32845.0,672152.0
South Carolina,2019,Q4,8366.0,878588.0,1343757.0,19314.0,2250025.0
South Dakota,2019,Q4,0.0,310257.0,0.0,3058.0,313315.0
Tennessee,2019,Q4,0.0,2432369.0,7289.0,299375.0,2739033.0
Texas,2019,Q4,0.0,8894290.0,0.0,0.0,8894290.0
Utah,2019,Q4,0.0,758330.0,1205605.0,97025.0,2060960.0
Vermont,2019,Q4,93994.0,109809.0,198160.0,22120.0,424083.0
Virginia,2019,Q4,-61.0,1484582.0,3616217.0,243287.0,5344025.0
Washington,2019,Q4,219330.0,4395983.0,0.0,0.0,4615313.0
"Washington, D.C.",2019,Q4,34727.0,428223.0,491982.0,163667.0,1118599.0
West Virginia,2019,Q4,1854.0,365887.0,470021.0,47323.0,885085.0
Wisconsin,2019,Q4,50756.0,1470682.0,2108429.0,395418.0,4025285.0
Wyoming,2019,Q4,140618.0,203809.0,0.0,0.0,344427.0
