State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2017,Q3,15024.0,659449.0,892968.0,80861.0,1648302.0
Alaska,2017,Q3,27766.0,0.0,0.0,45217.0,72983.0
Arizona,2017,Q3,249130.0,1648077.0,1130360.0,81290.0,3108857.0
Arkansas,2017,Q3,126337.0,867251.0,700258.0,108546.0,1802392.0
California,2017,Q3,744938.0,9168607.0,17894592.0,1523169.0,29331306.0
Colorado,2017,Q3,0.0,832313.0,1677553.0,108006.0,2617872.0
Connecticut,2017,Q3,0.0,571671.0,1136846.0,119442.0,1827959.0
Delaware,2017,Q3,0.0,0.0,349949.0,44738.0,394687.0
Florida*,2017,Q3,0.0,6905400.0,0.0,415510.0,7320910.0
Georgia,2017,Q3,251853.0,1453145.0,2776195.0,233435.0,4714628.0
Hawaii,2017,Q3,0.0,901033.0,539135.0,36637.0,1476805.0
Idaho,2017,Q3,0.0,476184.0,393822.0,48658.0,918664.0
Illinois,2017,Q3,16457.0,2958932.0,2990651.0,489443.0,6455483.0
Indiana,2017,Q3,2827.0,1954049.0,1953064.0,148095.0,4058035.0
Iowa,2017,Q3,576.0,848252.0,681592.0,98607.0,1629027.0
Kansas,2017,Q3,18535.0,838335.0,666045.0,101747.0,1624662.0
Kentucky,2017,Q3,53653.0,902964.0,1123304.0,197104.0,2277025.0
Louisiana*,2017,Q3,14806.0,1046349.0,755047.0,77857.0,1894059.0
Maine,2017,Q3,30974.0,446752.0,384330.0,51145.0,913201.0
Maryland,2017,Q3,637937.0,781778.0,1685992.0,255643.0,3361350.0
Massachusetts,2017,Q3,12.0,1625360.0,3545828.0,527958.0,5699158.0
Michigan*,2017,Q3,752445.0,3346451.0,2461213.0,434627.0,6994736.0
Minnesota,2017,Q3,11125.0,1313685.0,2688053.0,237670.0,4250533.0
Mississippi,2017,Q3,4927.0,746386.0,439316.0,96804.0,1287433.0
Missouri,2017,Q3,475.0,910192.0,1516156.0,89624.0,2516447.0
Montana,2017,Q3,15064.0,0.0,295181.0,42577.0,352822.0
Nebraska,2017,Q3,52.0,494452.0,556076.0,76238.0,1126818.0
Nevada,2017,Q3,20066.0,769964.0,0.0,0.0,790030.0
New Hampshire,2017,Q3,10765.0,0.0,17740.0,156757.0,185262.0
New Jersey,2017,Q3,0.0,1547979.0,2430515.0,415080.0,4393574.0
New Mexico,2017,Q3,2455.0,603935.0,396860.0,34562.0,1037812.0
New York,2017,Q3,0.0,3699028.0,10420909.0,961726.0,15081663.0
North Carolina,2017,Q3,0.0,2019707.0,2768029.0,179478.0,4967214.0
North Dakota,2017,Q3,54.0,297564.0,81450.0,16009.0,395077.0
Ohio,2017,Q3,0.0,3025162.0,2169107.0,2377.0,5196646.0
Oklahoma,2017,Q3,0.0,685287.0,770669.0,51781.0,1507737.0
Oregon,2017,Q3,5760.0,0.0,2029097.0,149978.0,2184835.0
Pennsylvania,2017,Q3,1197.0,2713958.0,2677887.0,513576.0,5906618.0
Rhode Island,2017,Q3,0.0,280786.0,323083.0,22825.0,626694.0
South Carolina,2017,Q3,9601.0,810468.0,1300865.0,83697.0,2204631.0
South Dakota,2017,Q3,0.0,297962.0,0.0,1421.0,299383.0
Tennessee,2017,Q3,0.0,2199621.0,3039.0,329935.0,2532595.0
Texas,2017,Q3,0.0,7536866.0,0.0,0.0,7536866.0
Utah,2017,Q3,0.0,695274.0,806557.0,70886.0,1572717.0
Vermont,2017,Q3,2499.0,99608.0,174829.0,22512.0,299448.0
Virginia*,2017,Q3,188.0,914014.0,3225097.0,252693.0,4391992.0
Washington,2017,Q3,810322.0,3921009.0,0.0,0.0,4731331.0
"Washington, D.C.",2017,Q3,1260811.0,348720.0,508639.0,108030.0,2226200.0
West Virginia*,2017,Q3,2906.0,303753.0,432907.0,36792.0,776358.0
Wisconsin,2017,Q3,3.0,884442.0,1496522.0,185265.0,2566232.0
Wyoming,2017,Q3,13646.0,182969.0,0.0,0.0,196615.0
