State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2019,Q1,186629.0,763376.0,1034041.0,73322.0,2057368.0
Alaska,2019,Q1,-525.0,0.0,0.0,14246.0,13721.0
Arizona*,2019,Q1,238956.0,1842743.0,1149599.0,-221.0,3231077.0
Arkansas,2019,Q1,120934.0,863274.0,618602.0,104633.0,1707443.0
California,2019,Q1,779979.0,11600179.0,24746257.0,2246049.0,39372464.0
Colorado,2019,Q1,0.0,818962.0,1725566.0,105894.0,2650422.0
Connecticut,2019,Q1,0.0,1042718.0,2031718.0,706537.0,3780973.0
Delaware,2019,Q1,0.0,0.0,460864.0,57621.0,518485.0
Florida,2019,Q1,0.0,7196500.0,0.0,385830.0,7582330.0
Georgia,2019,Q1,211652.0,1545676.0,2540774.0,165625.0,4463727.0
Hawaii,2019,Q1,0.0,985806.0,524087.0,27850.0,1537743.0
Idaho,2019,Q1,0.0,441172.0,271566.0,36083.0,748821.0
Illinois,2019,Q1,14314.0,2712255.0,4813181.0,675569.0,8215319.0
Indiana,2019,Q1,2711.0,1965527.0,1885750.0,33892.0,3887880.0
Iowa,2019,Q1,311.0,822281.0,1012422.0,38671.0,1873685.0
Kansas,2019,Q1,443257.0,792606.0,720919.0,50040.0,2006822.0
Kentucky,2019,Q1,143498.0,928182.0,1005227.0,74882.0,2151789.0
Louisiana,2019,Q1,13287.0,948501.0,719578.0,-51714.0,1629652.0
Maine,2019,Q1,6438.0,351468.0,292619.0,25842.0,676367.0
Maryland,2019,Q1,28207.0,1158346.0,2447253.0,149622.0,3783428.0
Massachusetts,2019,Q1,65.0,1636270.0,3681948.0,890074.0,6208357.0
Michigan,2019,Q1,55900.0,1947035.0,2227133.0,246000.0,4476068.0
Minnesota,2019,Q1,7484.0,1428753.0,2600797.0,408194.0,4445228.0
Mississippi,2019,Q1,26328.0,880587.0,362426.0,80007.0,1349348.0
Missouri,2019,Q1,25557.0,949551.0,1455153.0,-40200.0,2390061.0
Montana,2019,Q1,32200.0,0.0,294912.0,17834.0,344946.0
Nebraska,2019,Q1,27.0,484249.0,506734.0,68414.0,1059424.0
Nevada,2019,Q1,80441.0,1346187.0,0.0,0.0,1426628.0
New Hampshire,2019,Q1,366675.0,0.0,20109.0,115711.0,502495.0
New Jersey,2019,Q1,0.0,2443589.0,3781220.0,595853.0,6820662.0
New Mexico,2019,Q1,46973.0,713657.0,435514.0,8165.0,1204309.0
New York,2019,Q1,0.0,3651567.0,15557322.0,1157556.0,20366445.0
North Carolina,2019,Q1,0.0,2009307.0,3097849.0,69261.0,5176417.0
North Dakota,2019,Q1,3885.0,238330.0,100778.0,10798.0,353791.0
Ohio,2019,Q1,0.0,3001523.0,1796136.0,276.0,4797935.0
Oklahoma,2019,Q1,0.0,739750.0,741706.0,49323.0,1530779.0
Oregon*,2019,Q1,4322.0,0.0,1906564.0,130082.0,2040968.0
Pennsylvania,2019,Q1,916.0,2748884.0,3274005.0,544031.0,6567836.0
Rhode Island*,2019,Q1,621.0,254914.0,255100.0,63665.0,574300.0
South Carolina,2019,Q1,4511.0,819974.0,666465.0,-60497.0,1430453.0
South Dakota,2019,Q1,0.0,265531.0,0.0,10027.0,275558.0
Tennessee,2019,Q1,0.0,2339870.0,14846.0,297300.0,2652016.0
Texas,2019,Q1,0.0,8463263.0,0.0,0.0,8463263.0
Utah,2019,Q1,0.0,662562.0,1060986.0,50798.0,1774346.0
Vermont,2019,Q1,775.0,106039.0,162918.0,39228.0,308960.0
Virginia,2019,Q1,2.0,1294167.0,3406882.0,206063.0,4907114.0
Washington,2019,Q1,1601909.0,3985156.0,0.0,0.0,5587065.0
"Washington, D.C.",2019,Q1,1022954.0,339419.0,538796.0,96969.0,1998138.0
West Virginia,2019,Q1,1723.0,342322.0,458389.0,7222.0,809656.0
Wisconsin,2019,Q1,39.0,1296575.0,1422818.0,305908.0,3025340.0
Wyoming,2019,Q1,31752.0,190075.0,0.0,0.0,221827.0
