State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2024,Q4,230998.0,1194722.0,1471870.0,443140.0,3340730.0
Alaska,2024,Q4,0.0,0.0,0.0,83431.0,83431.0
Arizona,2024,Q4,360774.0,2951902.0,1395778.0,448096.0,5156550.0
Arkansas,2024,Q4,745923.0,1297841.0,675108.0,131862.0,2850734.0
California,2024,Q4,896636.0,13577941.0,28588160.0,9169183.0,52231920.0
Colorado,2024,Q4,0.0,1154475.0,2575381.0,503557.0,4233413.0
Connecticut,2024,Q4,0.0,1602274.0,2212758.0,587450.0,4402482.0
Delaware,2024,Q4,0.0,0.0,634602.0,102373.0,736975.0
Florida,2024,Q4,0.0,9742321.0,0.0,1208230.0,10950551.0
Georgia,2024,Q4,205436.0,2312153.0,3929558.0,781592.0,7228739.0
Hawaii,2024,Q4,0.0,1121773.0,832497.0,135267.0,2089537.0
Idaho,2024,Q4,0.0,798525.0,656375.0,282032.0,1736932.0
Illinois,2024,Q4,20251.0,4246042.0,5752171.0,2537271.0,12555735.0
Indiana,2024,Q4,4548.0,2733529.0,1860400.0,231890.0,4830367.0
Iowa,2024,Q4,0.0,1203665.0,1054780.0,90613.0,2349058.0
Kansas,2024,Q4,6764.0,1072288.0,1098164.0,350594.0,2527810.0
Kentucky,2024,Q4,454749.0,1446114.0,1119164.0,539114.0,3559141.0
Louisiana,2024,Q4,16039.0,1208223.0,1138466.0,183516.0,2546244.0
Maine,2024,Q4,3676.0,599707.0,661541.0,89704.0,1354628.0
Maryland,2024,Q4,138180.0,1717467.0,2759766.0,1020830.0,5636243.0
Massachusetts,2024,Q4,43.0,2460720.0,5031754.0,1209170.0,8701687.0
Michigan,2024,Q4,1884419.0,3123429.0,3373940.0,671987.0,9053775.0
Minnesota,2024,Q4,312222.0,2198389.0,3446043.0,1318987.0,7275641.0
Mississippi,2024,Q4,9802.0,1294665.0,646515.0,22496.0,1973478.0
Missouri,2024,Q4,10879.0,1289000.0,1877889.0,290993.0,3468761.0
Montana,2024,Q4,165625.0,0.0,467623.0,80621.0,713869.0
Nebraska,2024,Q4,5.0,769336.0,522333.0,332732.0,1624406.0
Nevada,2024,Q4,465947.0,1977086.0,0.0,0.0,2443033.0
New Hampshire,2024,Q4,11404.0,0.0,10908.0,216367.0,238679.0
New Jersey,2024,Q4,3658.0,3358557.0,4186649.0,1585309.0,9134173.0
New Mexico,2024,Q4,5048.0,1114021.0,489600.0,120004.0,1728673.0
New York,2024,Q4,0.0,5192522.0,11797379.0,6259620.0,23249521.0
North Carolina,2024,Q4,0.0,3069117.0,4026327.0,123790.0,7219234.0
North Dakota,2024,Q4,155.0,363478.0,56309.0,48753.0,468695.0
Ohio,2024,Q4,0.0,4328269.0,2682495.0,65.0,7010829.0
Oklahoma,2024,Q4,0.0,840816.0,1196907.0,72991.0,2110714.0
Oregon,2024,Q4,7202.0,321790.0,2759297.0,338636.0,3426925.0
Pennsylvania,2024,Q4,171.0,4017045.0,3728651.0,829360.0,8575227.0
Rhode Island,2024,Q4,847.0,420258.0,428644.0,103947.0,953696.0
South Carolina,2024,Q4,36921.0,1649085.0,1868603.0,191468.0,3746077.0
South Dakota,2024,Q4,0.0,427767.0,0.0,12370.0,440137.0
Tennessee,2024,Q4,0.0,3611110.0,125.0,311252.0,3922487.0
Texas,2024,Q4,0.0,12323219.0,0.0,0.0,12323219.0
Unnamed: 2,2024,Q4,0.0,0.0,0.0,0.0,0.0
Utah,2024,Q4,0.0,1247053.0,1805914.0,136997.0,3189964.0
Vermont,2024,Q4,133137.0,154106.0,290594.0,42658.0,620495.0
Virginia,2024,Q4,174.0,1896472.0,4218942.0,1020842.0,7136430.0
Washington,2024,Q4,321523.0,5827038.0,-28948.0,0.0,6119613.0
"Washington, D.C.",2024,Q4,-25919.0,532249.0,656923.0,236177.0,1399430.0
West Virginia,2024,Q4,2567.0,481624.0,562169.0,97718.0,1144078.0
Wisconsin,2024,Q4,35781.0,2046490.0,2540679.0,564738.0,5187688.0
Wyoming,2024,Q4,140571.0,256223.0,0.0,0.0,396794.0
