State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2018,Q2,16746.0,733299.0,1040379.0,235454.0,2025878.0
Alaska,2018,Q2,79944.0,0.0,0.0,141661.0,221605.0
Arizona,2018,Q2,117840.0,1808960.0,1353122.0,190227.0,3470149.0
Arkansas,2018,Q2,407109.0,897549.0,833431.0,158571.0,2296660.0
California,2018,Q2,696831.0,10717496.0,32136021.0,6209060.0,49759408.0
Colorado,2018,Q2,0.0,813369.0,2304559.0,382906.0,3500834.0
Connecticut,2018,Q2,0.0,1036609.0,2939579.0,323083.0,4299271.0
Delaware,2018,Q2,0.0,0.0,485841.0,122303.0,608144.0
Florida,2018,Q2,0.0,7001100.0,0.0,1177370.0,8178470.0
Georgia,2018,Q2,225659.0,1545991.0,2960670.0,462614.0,5194934.0
Hawaii,2018,Q2,0.0,807797.0,830876.0,74992.0,1713665.0
Idaho,2018,Q2,0.0,453958.0,559186.0,108318.0,1121462.0
Illinois,2018,Q2,16896.0,2844604.0,4624191.0,1059149.0,8544840.0
Indiana,2018,Q2,2674.0,2009861.0,2618467.0,416747.0,5047749.0
Iowa,2018,Q2,192.0,821929.0,1110066.0,226794.0,2158981.0
Kansas,2018,Q2,260599.0,838177.0,1185537.0,222822.0,2507135.0
Kentucky,2018,Q2,69115.0,938107.0,1339756.0,295550.0,2642528.0
Louisiana,2018,Q2,6736.0,977348.0,844452.0,311227.0,2139763.0
Maine,2018,Q2,598.0,369080.0,512858.0,87367.0,969903.0
Maryland*,2018,Q2,45257.0,1634450.0,3275028.0,497655.0,5452390.0
Massachusetts,2018,Q2,25.0,1675260.0,5079494.0,928673.0,7683452.0
Michigan,2018,Q2,75869.0,2524602.0,2821740.0,341457.0,5763668.0
Minnesota,2018,Q2,433016.0,1723732.0,3530530.0,489195.0,6176473.0
Mississippi,2018,Q2,5897.0,1015205.0,571390.0,224747.0,1817239.0
Missouri,2018,Q2,2135.0,936988.0,1880796.0,182826.0,3002745.0
Montana,2018,Q2,114670.0,0.0,425572.0,66179.0,606421.0
Nebraska,2018,Q2,44.0,464686.0,733329.0,133005.0,1331064.0
Nevada,2018,Q2,120160.0,2295625.0,0.0,0.0,2415785.0
New Hampshire,2018,Q2,20006.0,0.0,55899.0,314308.0,390213.0
New Jersey*,2018,Q2,0.0,4226645.0,5206383.0,1213901.0,10646929.0
New Mexico,2018,Q2,54062.0,660141.0,357641.0,39396.0,1111240.0
New York,2018,Q2,0.0,3817616.0,12990987.0,1110431.0,17919034.0
North Carolina,2018,Q2,0.0,2088729.0,3510404.0,428822.0,6027955.0
North Dakota,2018,Q2,507.0,303561.0,121821.0,56738.0,482627.0
Ohio,2018,Q2,0.0,3214596.0,2549129.0,5142.0,5768867.0
Oklahoma,2018,Q2,0.0,742787.0,997445.0,199105.0,1939337.0
Oregon,2018,Q2,3970.0,0.0,2631949.0,358149.0,2994068.0
Pennsylvania,2018,Q2,32631.0,2859582.0,4002523.0,991314.0,7886050.0
Rhode Island*,2018,Q2,1500.0,260280.0,389897.0,65130.0,716807.0
South Carolina,2018,Q2,7967.0,1097764.0,1314717.0,241193.0,2661641.0
South Dakota,2018,Q2,0.0,262201.0,0.0,15948.0,278149.0
Tennessee,2018,Q2,0.0,2301286.0,157418.0,751156.0,3209860.0
Texas,2018,Q2,0.0,11983020.0,0.0,0.0,11983020.0
Utah,2018,Q2,0.0,698620.0,1439449.0,221779.0,2359848.0
Vermont,2018,Q2,977539.0,97392.0,283194.0,45587.0,1403712.0
Virginia,2018,Q2,33320.0,1257698.0,3573015.0,339361.0,5203394.0
Washington,2018,Q2,306310.0,4518965.0,0.0,0.0,4825275.0
"Washington, D.C.",2018,Q2,352995.0,405749.0,588423.0,237194.0,1584361.0
West Virginia,2018,Q2,1321.0,356591.0,613564.0,48662.0,1020138.0
Wisconsin*,2018,Q2,46705.0,1924085.0,2719613.0,409463.0,5099866.0
Wyoming,2018,Q2,85587.0,162045.0,0.0,0.0,247632.0
