State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2021,Q4,188159.0,762756.0,1213798.0,320151.0,2484864.0
Alaska,2021,Q4,13.0,0.0,0.0,46920.0,46933.0
Arizona,2021,Q4,247105.0,2064802.0,1834985.0,203257.0,4350149.0
Arkansas,2021,Q4,602709.0,1131192.0,797875.0,180228.0,2712004.0
California,2021,Q4,776610.0,13708936.0,29451424.0,9397026.0,53333996.0
Colorado,2021,Q4,0.0,1058958.0,2430199.0,302379.0,3791536.0
Connecticut,2021,Q4,0.0,1411037.0,1929430.0,750745.0,4091212.0
Delaware,2021,Q4,0.0,0.0,492339.0,89558.0,581897.0
Florida,2021,Q4,0.0,8981262.0,0.0,641630.0,9622892.0
Georgia,2021,Q4,185501.0,2019992.0,4082544.0,490393.0,6778430.0
Hawaii,2021,Q4,0.0,648424.0,439791.0,31534.0,1119749.0
Idaho,2021,Q4,0.0,711674.0,518977.0,238106.0,1468757.0
Illinois,2021,Q4,17713.0,3757635.0,4523303.0,1642739.0,9941390.0
Indiana,2021,Q4,0.0,2524660.0,2277368.0,288211.0,5090239.0
Iowa,2021,Q4,345.0,987779.0,1091562.0,171849.0,2251535.0
Kansas,2021,Q4,6899.0,1063062.0,945665.0,199634.0,2215260.0
Kentucky,2021,Q4,415720.0,1265446.0,1279771.0,286932.0,3247869.0
Louisiana,2021,Q4,14029.0,1135753.0,1129154.0,195945.0,2474881.0
Maine,2021,Q4,333180.0,534103.0,532678.0,98308.0,1498269.0
Maryland,2021,Q4,161745.0,2390053.0,2718612.0,480409.0,5750819.0
Massachusetts,2021,Q4,63.0,2238263.0,5276265.0,740316.0,8254907.0
Michigan,2021,Q4,1439693.0,2884419.0,3071870.0,827931.0,8223913.0
Minnesota,2021,Q4,328776.0,1907327.0,2810263.0,1069437.0,6115803.0
Mississippi,2021,Q4,13805.0,1181571.0,595113.0,124854.0,1915343.0
Missouri,2021,Q4,7398.0,1252974.0,1818801.0,156654.0,3235827.0
Montana,2021,Q4,148985.0,0.0,421442.0,66307.0,636734.0
Nebraska,2021,Q4,5.0,624449.0,671905.0,137478.0,1433837.0
Nevada,2021,Q4,368863.0,1125983.0,0.0,0.0,1494846.0
New Hampshire,2021,Q4,10966.0,0.0,17675.0,181116.0,209757.0
New Jersey,2021,Q4,5016.0,3081863.0,3901031.0,2329586.0,9317496.0
New Mexico,2021,Q4,4415.0,866252.0,521600.0,71972.0,1464239.0
New York,2021,Q4,0.0,4212213.0,23407374.0,1895981.0,29515568.0
North Carolina,2021,Q4,0.0,2613800.0,3830300.0,129500.0,6573600.0
North Dakota,2021,Q4,123.0,349021.0,81752.0,27878.0,458774.0
Ohio,2021,Q4,0.0,3936720.0,2569856.0,84.0,6506660.0
Oklahoma,2021,Q4,0.0,884798.0,998773.0,84459.0,1968030.0
Oregon,2021,Q4,6300.0,0.0,2774318.0,335513.0,3116131.0
Pennsylvania,2021,Q4,486.0,3696413.0,3270763.0,1072955.0,8040617.0
Rhode Island,2021,Q4,1300.0,370814.0,402973.0,93275.0,868362.0
South Carolina,2021,Q4,13395.0,1136301.0,1884403.0,119629.0,3153728.0
South Dakota,2021,Q4,0.0,382978.0,0.0,10492.0,393470.0
Tennessee,2021,Q4,0.0,3125920.0,1595.0,464347.0,3591862.0
Texas,2021,Q4,0.0,10624104.0,0.0,0.0,10624104.0
Unnamed: 2,2021,Q4,0.0,0.0,0.0,0.0,0.0
Utah,2021,Q4,0.0,1049229.0,1604302.0,188777.0,2842308.0
Vermont,2021,Q4,104826.0,137313.0,232125.0,36994.0,511258.0
Virginia,2021,Q4,3954.0,1814496.0,4254806.0,604224.0,6677480.0
Washington,2021,Q4,285011.0,5288026.0,0.0,0.0,5573037.0
"Washington, D.C.",2021,Q4,37380.0,390337.0,553357.0,227416.0,1208490.0
West Virginia,2021,Q4,1695.0,431483.0,538976.0,97571.0,1069725.0
Wisconsin,2021,Q4,42717.0,1622762.0,2033735.0,889166.0,4588380.0
Wyoming,2021,Q4,125432.0,206003.0,0.0,0.0,331435.0
