State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2021,Q1,214562.0,942387.0,1229779.0,77447.0,2464175.0
Alaska,2021,Q1,-284.0,0.0,0.0,-42996.0,-43280.0
Arizona,2021,Q1,257287.0,2218812.0,1066876.0,104587.0,3647562.0
Arkansas,2021,Q1,138049.0,976306.0,775682.0,54183.0,1944220.0
California,2021,Q1,766119.0,10551441.0,35180916.0,3442594.0,49941070.0
Colorado,2021,Q1,0.0,858241.0,2090115.0,119317.0,3067673.0
Connecticut,2021,Q1,0.0,1266923.0,2722369.0,849212.0,4838504.0
Delaware,2021,Q1,0.0,0.0,694869.0,76070.0,770939.0
Florida,2021,Q1,0.0,7604940.0,0.0,326540.0,7931480.0
Georgia,2021,Q1,173950.0,1769031.0,3435504.0,217306.0,5595791.0
Hawaii,2021,Q1,0.0,849907.0,657199.0,-6473.0,1500633.0
Idaho,2021,Q1,0.0,593342.0,471447.0,34805.0,1099594.0
Illinois,2021,Q1,15412.0,3074199.0,5468891.0,936628.0,9495130.0
Indiana,2021,Q1,0.0,2247544.0,2261797.0,100193.0,4609534.0
Iowa,2021,Q1,1052.0,963542.0,1111012.0,79191.0,2154797.0
Kansas,2021,Q1,483074.0,891227.0,910310.0,71195.0,2355806.0
Kentucky,2021,Q1,174802.0,1057220.0,1182614.0,78067.0,2492703.0
Louisiana,2021,Q1,14306.0,1029286.0,951668.0,18668.0,2013928.0
Maine,2021,Q1,6969.0,419313.0,406826.0,32713.0,865821.0
Maryland,2021,Q1,87669.0,1059655.0,2808427.0,241575.0,4197326.0
Massachusetts,2021,Q1,111.0,1803553.0,4654736.0,954255.0,7412655.0
Michigan,2021,Q1,112402.0,2404861.0,2480923.0,72571.0,5070757.0
Minnesota,2021,Q1,13360.0,1526126.0,3000881.0,529333.0,5069700.0
Mississippi,2021,Q1,24920.0,1046256.0,478233.0,117064.0,1666473.0
Missouri,2021,Q1,26695.0,1002400.0,1635922.0,90003.0,2755020.0
Montana,2021,Q1,46503.0,0.0,393681.0,21020.0,461204.0
Nebraska,2021,Q1,29.0,564714.0,636415.0,100679.0,1301837.0
Nevada,2021,Q1,93257.0,1339344.0,0.0,0.0,1432601.0
New Hampshire,2021,Q1,365900.0,0.0,25313.0,187600.0,578813.0
New Jersey,2021,Q1,2.0,2636160.0,4498361.0,936106.0,8070629.0
New Mexico,2021,Q1,50576.0,736311.0,-69377.0,37660.0,755170.0
New York,2021,Q1,0.0,3675231.0,18168485.0,1389997.0,23233713.0
North Carolina,2021,Q1,0.0,2335789.0,3530667.0,206580.0,6073036.0
North Dakota,2021,Q1,4457.0,224423.0,97693.0,19667.0,346240.0
Ohio,2021,Q1,0.0,3319835.0,2074930.0,-948.0,5393817.0
Oklahoma,2021,Q1,0.0,732338.0,733035.0,27366.0,1492739.0
Oregon*,2021,Q1,5446.0,0.0,1876598.0,136914.0,2018958.0
Pennsylvania,2021,Q1,713.0,3101102.0,3699855.0,588986.0,7390656.0
Rhode Island,2021,Q1,669.0,313786.0,335020.0,97320.0,746795.0
South Carolina,2021,Q1,4857.0,964548.0,913200.0,76757.0,1959362.0
South Dakota,2021,Q1,0.0,326926.0,0.0,14208.0,341134.0
Tennessee,2021,Q1,0.0,2783079.0,7999.0,381016.0,3172094.0
Texas,2021,Q1,0.0,8327341.0,0.0,0.0,8327341.0
Utah,2021,Q1,0.0,873191.0,1288203.0,103105.0,2264499.0
Vermont,2021,Q1,1432.0,127855.0,234634.0,43421.0,407342.0
Virginia,2021,Q1,-52.0,1535118.0,3826933.0,238219.0,5600218.0
Washington,2021,Q1,1888241.0,4519495.0,0.0,0.0,6407736.0
"Washington, D.C.",2021,Q1,995225.0,258588.0,657898.0,132604.0,2044315.0
West Virginia,2021,Q1,1952.0,377507.0,519133.0,24789.0,923381.0
Wisconsin*,2021,Q1,-227.0,1493136.0,1846304.0,468907.0,3808120.0
Wyoming,2021,Q1,42788.0,176094.0,0.0,0.0,218882.0
