State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama*,2015,Q4,149860.0,641159.0,828204.0,92344.0,1711567.0
Alaska*,2015,Q4,100.0,0.0,0.0,-33549.0,-33449.0
Arizona,2015,Q4,220661.0,1521310.0,1063342.0,133768.0,2939081.0
Arkansas,2015,Q4,546574.0,817594.0,643283.0,81094.0,2088545.0
California,2015,Q4,586969.0,10111244.0,18686943.0,1981084.0,31366240.0
Colorado*,2015,Q4,0.0,699751.0,1490437.0,140686.0,2330874.0
Connecticut*,2015,Q4,0.0,1059444.0,1783592.0,92347.0,2935383.0
Delaware,2015,Q4,0.0,0.0,336062.0,89613.0,425675.0
Florida,2015,Q4,0.0,5377678.0,0.0,465700.0,5843378.0
Georgia*,2015,Q4,227961.0,1304217.0,2784717.0,194813.0,4511708.0
Hawaii,2015,Q4,0.0,754374.0,498438.0,11970.0,1264782.0
Idaho,2015,Q4,0.0,380517.0,376691.0,40620.0,797828.0
Illinois,2015,Q4,17093.0,2928726.0,3048487.0,625819.0,6620125.0
Indiana*,2015,Q4,1872.0,1796335.0,1775318.0,211835.0,3785360.0
Iowa,2015,Q4,0.0,808541.0,948929.0,39082.0,1796552.0
Kansas,2015,Q4,5933.0,811916.0,523744.0,95846.0,1437439.0
Kentucky,2015,Q4,333488.0,867951.0,1029563.0,137573.0,2368575.0
Louisiana*,2015,Q4,13172.0,746615.0,761767.0,-45024.0,1476530.0
Maine,2015,Q4,2340.0,333283.0,410240.0,18751.0,764614.0
Maryland,2015,Q4,201834.0,1111436.0,1918271.0,206628.0,3438169.0
Massachusetts,2015,Q4,2.0,1500177.0,3273462.0,382657.0,5156298.0
Michigan,2015,Q4,1225107.0,2127286.0,2206367.0,159039.0,5717799.0
Minnesota,2015,Q4,374395.0,1374740.0,2489756.0,350706.0,4589597.0
Mississippi,2015,Q4,6573.0,816918.0,461993.0,79388.0,1364872.0
Missouri*,2015,Q4,7536.0,864438.0,1439430.0,62754.0,2374158.0
Montana,2015,Q4,114430.0,0.0,272651.0,33171.0,420252.0
Nebraska,2015,Q4,4.0,440150.0,509399.0,73286.0,1022839.0
Nevada,2015,Q4,88762.0,1054161.0,0.0,0.0,1142923.0
New Hampshire,2015,Q4,11193.0,0.0,5630.0,148230.0,165053.0
New Jersey,2015,Q4,4626.0,2270269.0,3026344.0,508094.0,5809333.0
New Mexico,2015,Q4,4165.0,501068.0,376948.0,37952.0,920133.0
New York,2015,Q4,0.0,3253464.0,9786924.0,965293.0,14005681.0
North Carolina,2015,Q4,0.0,1714387.0,2766040.0,197972.0,4678399.0
North Dakota,2015,Q4,86.0,336042.0,74955.0,-7720.0,403363.0
Ohio,2015,Q4,0.0,3111887.0,2216793.0,10706.0,5339386.0
Oklahoma,2015,Q4,0.0,631596.0,774470.0,-8954.0,1397112.0
Oregon*,2015,Q4,6509.0,0.0,1902583.0,123094.0,2032186.0
Pennsylvania,2015,Q4,1365.0,2554389.0,2593770.0,460824.0,5610348.0
Rhode Island,2015,Q4,0.0,241682.0,316292.0,17439.0,575413.0
South Carolina,2015,Q4,10529.0,745435.0,1189931.0,58398.0,2004293.0
South Dakota,2015,Q4,0.0,245111.0,0.0,14845.0,259956.0
Tennessee,2015,Q4,0.0,2005756.0,12689.0,247737.0,2266182.0
Texas,2015,Q4,0.0,7084103.0,0.0,0.0,7084103.0
Utah*,2015,Q4,0.0,469557.0,866239.0,74552.0,1410348.0
Vermont*,2015,Q4,87610.0,94363.0,170767.0,27452.0,380192.0
Virginia,2015,Q4,11.0,970190.0,3012315.0,99560.0,4082076.0
Washington,2015,Q4,134740.0,3329525.0,0.0,0.0,3464265.0
"Washington, D.C.",2015,Q4,30622.0,333214.0,413098.0,110686.0,887620.0
West Virginia*,2015,Q4,1477.0,321985.0,427693.0,37541.0,788696.0
Wisconsin,2015,Q4,44801.0,1250883.0,1820512.0,235315.0,3351511.0
Wyoming,2015,Q4,159135.0,169485.0,0.0,0.0,328620.0
