State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2025,Q4,221634.0,1206267.0,1365393.0,332705.0,3125999.0
Alaska,2025,Q4,238.0,0.0,0.0,188999.0,189237.0
Arizona,2025,Q4,291597.0,3015725.0,1508071.0,515525.0,5330918.0
Arkansas,2025,Q4,769919.0,1337636.0,712787.0,115277.0,2935619.0
California,2025,Q4,932855.0,14048231.0,35826789.0,12473996.0,63281871.0
Colorado,2025,Q4,0.0,1175300.0,2826316.0,368637.0,4370253.0
Connecticut,2025,Q4,0.0,1607282.0,2399929.0,446549.0,4453760.0
Delaware,2025,Q4,0.0,0.0,626939.0,141649.0,768588.0
Florida,2025,Q4,0.0,9828059.0,0.0,1215730.0,11043789.0
Georgia,2025,Q4,212045.0,2390570.0,4073577.0,747126.0,7423318.0
Hawaii,2025,Q4,0.0,1246343.0,768015.0,94977.0,2109335.0
Idaho,2025,Q4,0.0,840658.0,700486.0,269524.0,1810668.0
Illinois,2025,Q4,20902.0,4475675.0,5950696.0,2735747.0,13183020.0
Indiana,2025,Q4,12234.0,2891505.0,1814100.0,226762.0,4944601.0
Iowa,2025,Q4,0.0,1275531.0,907033.0,46242.0,2228806.0
Kansas,2025,Q4,6393.0,1064049.0,1183834.0,268900.0,2523176.0
Kentucky,2025,Q4,446456.0,1543381.0,1239772.0,354921.0,3584530.0
Louisiana,2025,Q4,16555.0,1448004.0,1038017.0,41090.0,2543666.0
Maine,2025,Q4,-501.0,594210.0,692941.0,72396.0,1359046.0
Maryland,2025,Q4,238155.0,1841870.0,2831424.0,799322.0,5710771.0
Massachusetts,2025,Q4,32.0,2486334.0,5254004.0,1126833.0,8867203.0
Michigan,2025,Q4,1975054.0,3003391.0,3626485.0,563786.0,9168716.0
Minnesota,2025,Q4,308245.0,2278081.0,3510199.0,1090526.0,7187051.0
Mississippi,2025,Q4,9838.0,1339236.0,647496.0,74500.0,2071070.0
Missouri,2025,Q4,6061.0,1374638.0,2008474.0,262941.0,3652114.0
Montana,2025,Q4,179218.0,0.0,511738.0,69128.0,760084.0
Nebraska,2025,Q4,7.0,830157.0,704429.0,216874.0,1751467.0
Nevada,2025,Q4,480936.0,2052263.0,0.0,0.0,2533199.0
New Hampshire,2025,Q4,13337.0,0.0,-13233.0,275924.0,276028.0
New Jersey,2025,Q4,4860.0,3449139.0,4721795.0,1519807.0,9695601.0
New Mexico,2025,Q4,5210.0,1225412.0,523009.0,9967.0,1763598.0
New York,2025,Q4,0.0,5602333.0,11405485.0,6723752.0,23731570.0
North Carolina,2025,Q4,0.0,3265806.0,4324983.0,103670.0,7694459.0
North Dakota,2025,Q4,170.0,360245.0,50041.0,35772.0,446228.0
Ohio,2025,Q4,0.0,4633657.0,2910334.0,0.0,7543991.0
Oklahoma,2025,Q4,0.0,913295.0,1339848.0,40662.0,2293805.0
Oregon,2025,Q4,7434.0,366841.0,3513279.0,516011.0,4403565.0
Pennsylvania,2025,Q4,551.0,4233875.0,4074829.0,898051.0,9207306.0
Rhode Island,2025,Q4,1075.0,424194.0,461424.0,120006.0,1006699.0
South Carolina,2025,Q4,32601.0,1723097.0,1998042.0,132093.0,3885833.0
South Dakota,2025,Q4,0.0,447224.0,0.0,8174.0,455398.0
Tennessee,2025,Q4,0.0,3769546.0,349.0,507288.0,4277183.0
Texas,2025,Q4,0.0,13115958.0,0.0,0.0,13115958.0
Utah,2025,Q4,0.0,1341399.0,2379039.0,75709.0,3796147.0
Vermont,2025,Q4,139271.0,159087.0,307010.0,19789.0,625157.0
Virginia,2025,Q4,39.0,1996180.0,4724730.0,1252457.0,7973406.0
Washington,2025,Q4,293424.0,6244669.0,88730.0,0.0,6626823.0
"Washington, D.C.",2025,Q4,20757.0,517179.0,656923.0,236177.0,1431036.0
West Virginia,2025,Q4,2570.0,506218.0,545639.0,73124.0,1127551.0
Wisconsin,2025,Q4,54730.0,2015302.0,2700686.0,433782.0,5204500.0
Wyoming,2025,Q4,137321.0,259156.0,0.0,0.0,396477.0
