State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2016,Q2,16864.0,669090.0,1034594.0,137251.0,1857799.0
Alaska*,2016,Q2,128101.0,0.0,0.0,52143.0,180244.0
Arizona,2016,Q2,235752.0,1591123.0,1288706.0,207896.0,3323477.0
Arkansas,2016,Q2,330163.0,810737.0,863975.0,149955.0,2154830.0
California,2016,Q2,643512.0,10371726.0,28111356.0,4157594.0,43284188.0
Colorado,2016,Q2,0.0,694674.0,2070689.0,242647.0,3008010.0
Connecticut,2016,Q2,0.0,1440016.0,3420188.0,395156.0,5255360.0
Delaware,2016,Q2,0.0,0.0,454040.0,101286.0,555326.0
Florida*,2016,Q2,0.0,6345900.0,0.0,492910.0,6838810.0
Georgia,2016,Q2,253061.0,1426980.0,2749203.0,310777.0,4740021.0
Hawaii,2016,Q2,0.0,802314.0,601804.0,55740.0,1459858.0
Idaho,2016,Q2,0.0,396170.0,527177.0,81504.0,1004851.0
Illinois,2016,Q2,16901.0,2859872.0,3952555.0,1163900.0,7993228.0
Indiana,2016,Q2,2675.0,1852144.0,2364765.0,475534.0,4695118.0
Iowa,2016,Q2,169.0,784513.0,958490.0,179385.0,1922557.0
Kansas,2016,Q2,246741.0,801158.0,715179.0,139669.0,1902747.0
Kentucky*,2016,Q2,59759.0,899050.0,1252297.0,294410.0,2505516.0
Louisiana*,2016,Q2,13476.0,960921.0,573916.0,213724.0,1762037.0
Maine,2016,Q2,431.0,329359.0,482570.0,61427.0,873787.0
Maryland,2016,Q2,-4290.0,1555749.0,2782614.0,358054.0,4692127.0
Massachusetts,2016,Q2,25.0,1550697.0,4586075.0,717025.0,6853822.0
Michigan,2016,Q2,81668.0,2090640.0,2562001.0,181362.0,4915671.0
Minnesota,2016,Q2,456307.0,1662625.0,3501133.0,475743.0,6095808.0
Mississippi,2016,Q2,9.0,972827.0,568235.0,99723.0,1640794.0
Missouri,2016,Q2,1545.0,887847.0,1817663.0,121712.0,2828767.0
Montana,2016,Q2,110455.0,0.0,395931.0,32967.0,539353.0
Nebraska,2016,Q2,37.0,445718.0,727625.0,75260.0,1248640.0
Nevada,2016,Q2,104682.0,1833177.0,0.0,0.0,1937859.0
New Hampshire,2016,Q2,20409.0,0.0,46020.0,252434.0,318863.0
New Jersey,2016,Q2,3.0,3238944.0,4959117.0,878032.0,9076096.0
New Mexico*,2016,Q2,54079.0,359713.0,326730.0,19566.0,760088.0
New York,2016,Q2,0.0,3500722.0,13293294.0,847900.0,17641916.0
North Carolina,2016,Q2,0.0,1875973.0,3613849.0,519669.0,6009491.0
North Dakota,2016,Q2,1024.0,268794.0,90101.0,52915.0,412834.0
Ohio,2016,Q2,0.0,3100870.0,2161466.0,2865.0,5265201.0
Oklahoma,2016,Q2,0.0,604076.0,884649.0,125570.0,1614295.0
Oregon,2016,Q2,3668.0,0.0,2309097.0,191793.0,2504558.0
Pennsylvania,2016,Q2,37808.0,2656755.0,3752735.0,936255.0,7383553.0
Rhode Island,2016,Q2,1501.0,238406.0,364578.0,30721.0,635206.0
South Carolina,2016,Q2,306.0,1080929.0,1021257.0,169426.0,2271918.0
South Dakota,2016,Q2,0.0,228228.0,0.0,1433.0,229661.0
Tennessee,2016,Q2,0.0,2106650.0,282166.0,623762.0,3012578.0
Texas,2016,Q2,0.0,10770573.0,0.0,0.0,10770573.0
Utah,2016,Q2,0.0,495522.0,1151148.0,147694.0,1794364.0
Vermont,2016,Q2,966511.0,87179.0,248267.0,22107.0,1324064.0
Virginia,2016,Q2,33331.0,1197610.0,3507161.0,308518.0,5046620.0
Washington,2016,Q2,185192.0,3447236.0,0.0,0.0,3632428.0
"Washington, D.C.",2016,Q2,433099.0,366197.0,568565.0,171884.0,1539745.0
West Virginia,2016,Q2,1059.0,330660.0,580921.0,38737.0,951377.0
Wisconsin,2016,Q2,65888.0,1751064.0,2499152.0,294536.0,4610640.0
Wyoming,2016,Q2,128420.0,131813.0,0.0,0.0,260233.0
