State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2025,Q2,30844.0,1240042.0,1627783.0,843450.0,3742119.0
Alaska,2025,Q2,49019.0,0.0,0.0,158129.0,207148.0
Arizona,2025,Q2,109887.0,3067483.0,1766053.0,597934.0,5541357.0
Arkansas,2025,Q2,562478.0,1331486.0,699035.0,243555.0,2836554.0
California,2025,Q2,947767.0,14650811.0,40976666.0,17511025.0,74086269.0
Colorado,2025,Q2,0.0,1178332.0,2731834.0,897554.0,4807720.0
Connecticut,2025,Q2,0.0,2192455.0,4925251.0,1327573.0,8445279.0
Delaware,2025,Q2,0.0,0.0,876100.0,240175.0,1116275.0
Florida,2025,Q2,0.0,10267409.0,0.0,2658170.0,12925579.0
Georgia,2025,Q2,236370.0,2400702.0,4733748.0,1146097.0,8516917.0
Hawaii,2025,Q2,0.0,1281769.0,1016678.0,225387.0,2523834.0
Idaho,2025,Q2,0.0,813680.0,1118470.0,326625.0,2258775.0
Illinois,2025,Q2,20104.0,4196096.0,7712763.0,5111126.0,17040089.0
Indiana,2025,Q2,4319.0,2897534.0,3203100.0,453840.0,6558793.0
Iowa,2025,Q2,64.0,1719785.0,1207186.0,290781.0,3217816.0
Kansas,2025,Q2,334688.0,1073195.0,1470447.0,573774.0,3452104.0
Kentucky,2025,Q2,99396.0,1512768.0,1443402.0,845943.0,3901509.0
Louisiana,2025,Q2,8014.0,1505747.0,1444806.0,433824.0,3392391.0
Maine,2025,Q2,1009.0,555280.0,940488.0,162117.0,1658894.0
Maryland,2025,Q2,141292.0,2473732.0,3754571.0,2111699.0,8481294.0
Massachusetts,2025,Q2,70.0,2495946.0,8887795.0,1868366.0,13252177.0
Michigan,2025,Q2,125812.0,3285726.0,3596014.0,1079725.0,8087277.0
Minnesota,2025,Q2,395834.0,2087349.0,4652532.0,1693824.0,8829539.0
Mississippi,2025,Q2,81.0,1386979.0,708538.0,270189.0,2365787.0
Missouri,2025,Q2,2841.0,1328950.0,2500102.0,667246.0,4499139.0
Montana,2025,Q2,151179.0,0.0,787499.0,152320.0,1090998.0
Nebraska,2025,Q2,43.0,792852.0,549692.0,287878.0,1630465.0
Nevada,2025,Q2,496150.0,3824601.0,0.0,0.0,4320751.0
New Hampshire,2025,Q2,386702.0,0.0,27917.0,460167.0,874786.0
New Jersey,2025,Q2,0.0,5968249.0,8249606.0,3057523.0,17275378.0
New Mexico,2025,Q2,64326.0,1173869.0,999258.0,179332.0,2416785.0
New York,2025,Q2,0.0,5273916.0,19209324.0,6551735.0,31034975.0
North Carolina,2025,Q2,0.0,3258842.0,4873397.0,839916.0,8972155.0
North Dakota,2025,Q2,821.0,330293.0,199812.0,178721.0,709647.0
Ohio,2025,Q2,0.0,4317318.0,3395912.0,53.0,7713283.0
Oklahoma,2025,Q2,0.0,847713.0,1527302.0,329378.0,2704393.0
Oregon,2025,Q2,3402.0,480714.0,4696439.0,609523.0,5790078.0
Pennsylvania,2025,Q2,43252.0,4207849.0,6021380.0,1607881.0,11880362.0
Rhode Island,2025,Q2,2734.0,414881.0,569650.0,164343.0,1151608.0
South Carolina,2025,Q2,31685.0,2373925.0,1936638.0,621263.0,4963511.0
South Dakota,2025,Q2,0.0,391600.0,0.0,30271.0,421871.0
Tennessee,2025,Q2,0.0,3801832.0,1745.0,1219260.0,5022837.0
Texas,2025,Q2,0.0,19162590.0,0.0,0.0,19162590.0
Unnamed: 2,2025,Q2,0.0,0.0,0.0,0.0,0.0
Utah,2025,Q2,0.0,1305408.0,2542715.0,560658.0,4408781.0
Vermont,2025,Q2,1354624.0,150010.0,508301.0,95721.0,2108656.0
Virginia,2025,Q2,50501.0,1973112.0,5985054.0,2024849.0,10033516.0
Washington,2025,Q2,409478.0,6023564.0,568175.0,0.0,7001217.0
"Washington, D.C.",2025,Q2,237239.0,569133.0,1096148.0,550483.0,2453003.0
West Virginia,2025,Q2,1831.0,499577.0,591309.0,147968.0,1240685.0
Wisconsin,2025,Q2,32062.0,2038229.0,3849138.0,634260.0,6553689.0
Wyoming,2025,Q2,105720.0,223406.0,0.0,0.0,329126.0
