State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2020,Q4,162719.0,954023.0,1039543.0,128465.0,2284750.0
Alaska,2020,Q4,-36.0,0.0,0.0,21305.0,21269.0
Arizona*,2020,Q4,247706.0,2133934.0,1431793.0,201072.0,4014505.0
Arkansas,2020,Q4,600486.0,998911.0,720424.0,118746.0,2438567.0
California,2020,Q4,774247.0,11219796.0,24857622.0,4097313.0,40948978.0
Colorado,2020,Q4,0.0,890817.0,2151195.0,234809.0,3276821.0
Connecticut,2020,Q4,0.0,1314116.0,2000769.0,544552.0,3859437.0
Delaware,2020,Q4,0.0,0.0,396829.0,76839.0,473668.0
Florida,2020,Q4,0.0,6899378.0,0.0,723000.0,7622378.0
Georgia,2020,Q4,167912.0,1665189.0,3310227.0,348914.0,5492242.0
Hawaii,2020,Q4,0.0,982043.0,857683.0,67617.0,1907343.0
Idaho,2020,Q4,0.0,599614.0,434158.0,66271.0,1100043.0
Illinois,2020,Q4,17756.0,3375904.0,4226456.0,894823.0,8514939.0
Indiana,2020,Q4,0.0,2204356.0,2061602.0,227843.0,4493801.0
Iowa,2020,Q4,699.0,954012.0,1042496.0,180527.0,2177734.0
Kansas,2020,Q4,6985.0,927668.0,877446.0,143361.0,1955460.0
Kentucky,2020,Q4,394650.0,1083659.0,1153173.0,233786.0,2865268.0
Louisiana,2020,Q4,14063.0,963062.0,978326.0,137652.0,2093103.0
Maine,2020,Q4,1924.0,456010.0,490331.0,57553.0,1005818.0
Maryland,2020,Q4,140500.0,1308921.0,2450162.0,346480.0,4246063.0
Massachusetts,2020,Q4,72.0,1769481.0,3918870.0,686494.0,6374917.0
Michigan,2020,Q4,1493975.0,2435019.0,2756621.0,344542.0,7030157.0
Minnesota,2020,Q4,350135.0,1841799.0,2799301.0,511225.0,5502460.0
Mississippi,2020,Q4,15110.0,1025481.0,531118.0,75413.0,1647122.0
Missouri,2020,Q4,7639.0,969431.0,1535425.0,120489.0,2632984.0
Montana,2020,Q4,142581.0,0.0,370286.0,54777.0,567644.0
Nebraska,2020,Q4,5.0,566943.0,616097.0,98411.0,1281456.0
Nevada,2020,Q4,122765.0,1363668.0,0.0,0.0,1486433.0
New Hampshire,2020,Q4,10700.0,0.0,16631.0,196400.0,223731.0
New Jersey,2020,Q4,5164.0,2715889.0,3426777.0,1811661.0,7959491.0
New Mexico,2020,Q4,4426.0,722035.0,488100.0,40984.0,1255545.0
New York,2020,Q4,0.0,3860971.0,9939148.0,1285532.0,15085651.0
North Carolina,2020,Q4,0.0,2315310.0,3175306.0,94429.0,5585045.0
North Dakota,2020,Q4,141.0,227334.0,72773.0,20318.0,320566.0
Ohio,2020,Q4,0.0,3565184.0,2272465.0,6554.0,5844203.0
Oklahoma,2020,Q4,0.0,749812.0,890639.0,78982.0,1719433.0
Oregon,2020,Q4,7011.0,0.0,2365460.0,222542.0,2595013.0
Pennsylvania,2020,Q4,566.0,3290057.0,3013247.0,856992.0,7160862.0
Rhode Island,2020,Q4,0.0,317783.0,345482.0,79754.0,743019.0
South Carolina,2020,Q4,11000.0,959802.0,1591254.0,32890.0,2594946.0
South Dakota,2020,Q4,0.0,359666.0,0.0,3271.0,362937.0
Tennessee,2020,Q4,0.0,2590568.0,5233.0,319627.0,2915428.0
Texas,2020,Q4,0.0,8526314.0,0.0,0.0,8526314.0
Utah,2020,Q4,0.0,873005.0,1296494.0,131030.0,2300529.0
Vermont,2020,Q4,99364.0,125679.0,221225.0,21601.0,467869.0
Virginia,2020,Q4,23.0,1594278.0,3753484.0,336878.0,5684663.0
Washington,2020,Q4,594531.0,4835577.0,0.0,0.0,5430108.0
"Washington, D.C.",2020,Q4,63366.0,257220.0,519685.0,191404.0,1031675.0
West Virginia,2020,Q4,1783.0,383083.0,483939.0,53273.0,922078.0
Wisconsin,2020,Q4,46492.0,1493688.0,2211824.0,637093.0,4389097.0
Wyoming,2020,Q4,133371.0,181894.0,0.0,0.0,315265.0
