State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2024,Q1,290468.0,1131339.0,1189729.0,404491.0,3016027.0
Alaska,2024,Q1,-274.0,0.0,0.0,27019.0,26745.0
Arizona,2024,Q1,179013.0,2971365.0,900898.0,263255.0,4314531.0
Arkansas,2024,Q1,184413.0,1252794.0,580932.0,104973.0,2123112.0
California,2024,Q1,948830.0,13359080.0,28432005.0,7860327.0,50600242.0
Colorado,2024,Q1,0.0,1130787.0,463884.0,365405.0,1960076.0
Connecticut,2024,Q1,0.0,1506287.0,2358731.0,1020431.0,4885449.0
Delaware,2024,Q1,0.0,0.0,660975.0,75030.0,736005.0
Florida,2024,Q1,0.0,10419172.0,0.0,783330.0,11202502.0
Georgia,2024,Q1,211941.0,2202542.0,3542272.0,589800.0,6546555.0
Hawaii,2024,Q1,0.0,1245866.0,650136.0,83190.0,1979192.0
Idaho,2024,Q1,0.0,729471.0,688580.0,249354.0,1667405.0
Illinois,2024,Q1,17473.0,3769382.0,5813403.0,2123696.0,11723954.0
Indiana,2024,Q1,0.0,2709508.0,1758900.0,104469.0,4572877.0
Iowa,2024,Q1,43.0,1153493.0,946430.0,394871.0,2494837.0
Kansas,2024,Q1,571031.0,1041212.0,1014324.0,191748.0,2818315.0
Kentucky,2024,Q1,205364.0,1411325.0,1160221.0,261393.0,3038303.0
Louisiana,2024,Q1,16219.0,1237061.0,1016940.0,80603.0,2350823.0
Maine,2024,Q1,651.0,511569.0,381948.0,67945.0,962113.0
Maryland,2024,Q1,1649.0,1393202.0,2831715.0,891626.0,5118192.0
Massachusetts,2024,Q1,440.0,2285163.0,4776900.0,1822487.0,8884990.0
Michigan,2024,Q1,84157.0,2765553.0,1555586.0,593675.0,4998971.0
Minnesota,2024,Q1,11057.0,1915325.0,2664189.0,1722343.0,6312914.0
Mississippi,2024,Q1,22590.0,1270745.0,432267.0,132575.0,1858177.0
Missouri,2024,Q1,31886.0,1272085.0,2313312.0,-123290.0,3493993.0
Montana,2024,Q1,78580.0,0.0,531127.0,20745.0,630452.0
Nebraska,2024,Q1,28.0,726281.0,625499.0,567870.0,1919678.0
Nevada,2024,Q1,558131.0,2074152.0,0.0,0.0,2632283.0
New Hampshire,2024,Q1,368914.0,0.0,31670.0,200748.0,601332.0
New Jersey,2024,Q1,20.0,3219921.0,4833818.0,1495013.0,9548772.0
New Mexico,2024,Q1,57340.0,1076979.0,424700.0,302239.0,1861258.0
New York,2024,Q1,0.0,4853874.0,17496798.0,7294839.0,29645511.0
North Carolina,2024,Q1,0.0,2932929.0,4457201.0,106846.0,7496976.0
North Dakota,2024,Q1,5227.0,300226.0,60008.0,23118.0,388579.0
Ohio,2024,Q1,0.0,3896547.0,1852738.0,50.0,5749335.0
Oklahoma,2024,Q1,0.0,911734.0,974829.0,82193.0,1968756.0
Oregon,2024,Q1,5608.0,278972.0,833050.0,161557.0,1279187.0
Pennsylvania,2024,Q1,52.0,3787078.0,4275695.0,814301.0,8877126.0
Rhode Island,2024,Q1,384.0,380021.0,323407.0,168936.0,872748.0
South Carolina,2024,Q1,20343.0,1723623.0,1011378.0,274568.0,3029912.0
South Dakota,2024,Q1,0.0,394219.0,0.0,15047.0,409266.0
Tennessee,2024,Q1,0.0,3465340.0,212.0,482318.0,3947870.0
Texas,2024,Q1,0.0,11575268.0,0.0,0.0,11575268.0
Unnamed: 2,2024,Q1,0.0,0.0,0.0,0.0,0.0
Utah,2024,Q1,0.0,1248103.0,1267565.0,96373.0,2612041.0
Vermont,2024,Q1,8653.0,152607.0,244252.0,50241.0,455753.0
Virginia,2024,Q1,1992.0,1775870.0,4193738.0,531372.0,6502972.0
Washington,2024,Q1,2121839.0,5452443.0,12476.0,0.0,7586758.0
"Washington, D.C.",2024,Q1,1258585.0,454730.0,803844.0,150598.0,2667757.0
West Virginia,2024,Q1,2026.0,461111.0,475649.0,40658.0,979444.0
Wisconsin,2024,Q1,-204.0,1757505.0,1965880.0,539705.0,4262886.0
Wyoming,2024,Q1,97202.0,232010.0,0.0,0.0,329212.0
