State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2017,Q2,15718.0,684117.0,904087.0,193025.0,1796947.0
Alaska,2017,Q2,92970.0,0.0,0.0,84139.0,177109.0
Arizona,2017,Q2,116399.0,1679019.0,1241050.0,174251.0,3210719.0
Arkansas,2017,Q2,378208.0,849136.0,824225.0,184498.0,2236067.0
California,2017,Q2,650819.0,10302626.0,28313830.0,4920428.0,44187703.0
Colorado,2017,Q2,0.0,750989.0,2184067.0,253708.0,3188764.0
Connecticut,2017,Q2,0.0,1460031.0,2613910.0,377334.0,4451275.0
Delaware,2017,Q2,0.0,0.0,471726.0,109064.0,580790.0
Florida*,2017,Q2,0.0,6581800.0,0.0,997810.0,7579610.0
Georgia,2017,Q2,231366.0,1425477.0,2957071.0,455564.0,5069478.0
Hawaii,2017,Q2,0.0,822229.0,612311.0,58156.0,1492696.0
Idaho,2017,Q2,0.0,421828.0,564407.0,91582.0,1077817.0
Illinois,2017,Q2,16689.0,2848111.0,3365563.0,871527.0,7101890.0
Indiana,2017,Q2,2641.0,1923505.0,2443609.0,506651.0,4876406.0
Iowa,2017,Q2,253.0,791077.0,1004132.0,214838.0,2010300.0
Kansas,2017,Q2,254627.0,816146.0,717542.0,166903.0,1955218.0
Kentucky,2017,Q2,69762.0,907049.0,1291693.0,296465.0,2564969.0
Louisiana*,2017,Q2,6654.0,1120641.0,746411.0,227651.0,2101357.0
Maine,2017,Q2,1517.0,341591.0,499009.0,76375.0,918492.0
Maryland,2017,Q2,-49222.0,1571822.0,3095545.0,510097.0,5128242.0
Massachusetts,2017,Q2,24.0,1606162.0,4697512.0,584923.0,6888621.0
Michigan,2017,Q2,87375.0,2301007.0,2653409.0,401159.0,5442950.0
Minnesota,2017,Q2,461240.0,1740293.0,3332886.0,449994.0,5984413.0
Mississippi,2017,Q2,4911.0,995836.0,585500.0,195912.0,1782159.0
Missouri,2017,Q2,1710.0,910963.0,1789182.0,182580.0,2884435.0
Montana,2017,Q2,109279.0,0.0,381772.0,56464.0,547515.0
Nebraska,2017,Q2,41.0,460808.0,691518.0,116297.0,1268664.0
Nevada,2017,Q2,112098.0,1931907.0,0.0,0.0,2044005.0
New Hampshire,2017,Q2,19917.0,0.0,51961.0,160012.0,231890.0
New Jersey,2017,Q2,0.0,3451858.0,5158167.0,976074.0,9586099.0
New Mexico,2017,Q2,53401.0,386788.0,285384.0,19162.0,744735.0
New York,2017,Q2,0.0,3571916.0,11753807.0,1039617.0,16365340.0
North Carolina,2017,Q2,0.0,1935913.0,3398774.0,423715.0,5758402.0
North Dakota,2017,Q2,989.0,273680.0,102778.0,40442.0,417889.0
Ohio,2017,Q2,0.0,3226109.0,2614182.0,4446.0,5844737.0
Oklahoma,2017,Q2,0.0,641617.0,915076.0,113997.0,1670690.0
Oregon*,2017,Q2,3622.0,0.0,2683882.0,219503.0,2907007.0
Pennsylvania,2017,Q2,39450.0,2773312.0,3830095.0,948943.0,7591800.0
Rhode Island*,2017,Q2,1482.0,249204.0,365298.0,73180.0,689164.0
South Carolina,2017,Q2,7821.0,1114850.0,1100642.0,202614.0,2425927.0
South Dakota,2017,Q2,0.0,255560.0,0.0,16434.0,271994.0
Tennessee,2017,Q2,0.0,2226991.0,217883.0,737318.0,3182192.0
Texas,2017,Q2,0.0,10840078.0,0.0,0.0,10840078.0
Utah*,2017,Q2,0.0,525012.0,1232728.0,149007.0,1906747.0
Vermont,2017,Q2,965588.0,91428.0,241838.0,38776.0,1337630.0
Virginia*,2017,Q2,32913.0,1222106.0,3508799.0,358920.0,5122738.0
Washington,2017,Q2,165874.0,3699663.0,0.0,0.0,3865537.0
"Washington, D.C.",2017,Q2,336571.0,385130.0,566166.0,229065.0,1516932.0
West Virginia,2017,Q2,1093.0,342400.0,579773.0,59905.0,983171.0
Wisconsin,2017,Q2,46134.0,1820302.0,2564552.0,354026.0,4785014.0
Wyoming,2017,Q2,99043.0,144879.0,0.0,0.0,243922.0
