State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2018,Q3,12431.0,733739.0,974108.0,85566.0,1805844.0
Alaska,2018,Q3,42742.0,0.0,0.0,83231.0,125973.0
Arizona,2018,Q3,506730.0,1765400.0,1240519.0,147647.0,3660296.0
Arkansas,2018,Q3,125228.0,911178.0,767000.0,120079.0,1923485.0
California,2018,Q3,755410.0,9716601.0,19939122.0,1841479.0,32252612.0
Colorado,2018,Q3,0.0,883104.0,1876566.0,223684.0,2983354.0
Connecticut,2018,Q3,0.0,616486.0,1230476.0,301861.0,2148823.0
Delaware,2018,Q3,0.0,0.0,366237.0,47162.0,413399.0
Florida,2018,Q3,0.0,6595500.0,0.0,626630.0,7222130.0
Georgia,2018,Q3,249642.0,1556126.0,2994445.0,258436.0,5058649.0
Hawaii,2018,Q3,0.0,948990.0,579302.0,24556.0,1552848.0
Idaho,2018,Q3,0.0,511578.0,355097.0,70284.0,936959.0
Illinois,2018,Q3,16313.0,3124947.0,3544588.0,639860.0,7325708.0
Indiana,2018,Q3,2802.0,1998600.0,2099372.0,181700.0,4282474.0
Iowa,2018,Q3,704.0,601127.0,743406.0,98610.0,1443847.0
Kansas,2018,Q3,21594.0,849121.0,795428.0,122784.0,1788927.0
Kentucky,2018,Q3,48573.0,977332.0,1115939.0,194789.0,2336633.0
Louisiana,2018,Q3,14676.0,988982.0,794899.0,107975.0,1906532.0
Maine,2018,Q3,36495.0,476097.0,414674.0,65158.0,992424.0
Maryland,2018,Q3,721107.0,814091.0,1769054.0,301742.0,3605994.0
Massachusetts,2018,Q3,10.0,1716809.0,3778652.0,710044.0,6205515.0
Michigan,2018,Q3,766751.0,3161336.0,2525210.0,233175.0,6686472.0
Minnesota,2018,Q3,19204.0,1409259.0,2894029.0,319661.0,4642153.0
Mississippi,2018,Q3,5144.0,787674.0,461336.0,80352.0,1334506.0
Missouri,2018,Q3,518.0,927659.0,1453131.0,89273.0,2470581.0
Montana,2018,Q3,20172.0,0.0,316408.0,42212.0,378792.0
Nebraska,2018,Q3,51.0,524403.0,615245.0,88058.0,1227757.0
Nevada,2018,Q3,21390.0,796772.0,0.0,0.0,818162.0
New Hampshire,2018,Q3,11249.0,0.0,18177.0,192055.0,221481.0
New Jersey,2018,Q3,0.0,1573582.0,2584790.0,807152.0,4965524.0
New Mexico,2018,Q3,2433.0,691120.0,356547.0,52256.0,1102356.0
New York,2018,Q3,0.0,3878187.0,10670686.0,1000753.0,15549626.0
North Carolina,2018,Q3,0.0,2104634.0,2938213.0,233503.0,5276350.0
North Dakota,2018,Q3,37.0,279230.0,90881.0,52950.0,423098.0
Ohio,2018,Q3,0.0,3092525.0,2314657.0,-162.0,5407020.0
Oklahoma,2018,Q3,0.0,758954.0,841179.0,80870.0,1681003.0
Oregon*,2018,Q3,5709.0,0.0,2257600.0,254200.0,2517509.0
Pennsylvania,2018,Q3,1199.0,2976917.0,2897265.0,674601.0,6549982.0
Rhode Island*,2018,Q3,0.0,295190.0,333394.0,39189.0,667773.0
South Carolina,2018,Q3,15949.0,868801.0,1453045.0,139784.0,2477579.0
South Dakota,2018,Q3,0.0,317524.0,0.0,1477.0,319001.0
Tennessee,2018,Q3,0.0,2348359.0,1324.0,311866.0,2661549.0
Texas,2018,Q3,0.0,8551295.0,0.0,0.0,8551295.0
Utah,2018,Q3,0.0,742001.0,900218.0,137447.0,1779666.0
Vermont,2018,Q3,1979.0,102609.0,187741.0,38040.0,330369.0
Virginia,2018,Q3,186.0,942016.0,3313323.0,227414.0,4482939.0
Washington,2018,Q3,1270042.0,2760681.0,0.0,0.0,4030723.0
"Washington, D.C.",2018,Q3,1277515.0,356520.0,550511.0,118993.0,2303539.0
West Virginia,2018,Q3,2482.0,349765.0,502311.0,47052.0,901610.0
Wisconsin,2018,Q3,91.0,963400.0,1583803.0,249278.0,2796572.0
Wyoming,2018,Q3,10889.0,204553.0,0.0,0.0,215442.0
